valence,field,mean_similarity,std,n_models,ci_low,ci_high,margin_of_error,confidence_level
negative,AI,0.6560285876194635,0.181809070660319,12,0.5405126152405985,0.7715445599983285,0.11551597237886499,0.95
negative,Archaeology,0.5185200361845393,0.25950732148467187,12,0.35363695047346255,0.6834031218956161,0.16488308571107677,0.95
negative,Biology,0.4672541200493772,0.2255550003020919,12,0.32394331003214055,0.6105649300666138,0.14331081001723667,0.95
negative,Chemistry,0.46756383768903714,0.22715395002414074,12,0.3232371034868489,0.6118905718912253,0.14432673420218822,0.95
negative,Civil_Engineering,0.608617960413297,0.18938351190451078,12,0.4882894176694246,0.7289465031571694,0.1203285427438724,0.95
negative,Computer_Science,0.6099773151023934,0.19849004261492614,12,0.48386275878840035,0.7360918714163864,0.12611455631399304,0.95
negative,Earth_Science,0.6233263604342937,0.18949523334304375,12,0.5029268332749527,0.7437258875936347,0.12039952715934095,0.95
negative,Economics,0.49799163481220604,0.2220328810382419,12,0.35691867261037413,0.639064597014038,0.14107296220183188,0.95
negative,Electrical_Engineering,0.6089290293554465,0.18513141362834712,12,0.49130214096378866,0.7265559177471043,0.11762688839165782,0.95
negative,Literature,0.49457061281427733,0.23604013292256917,12,0.3445978673623741,0.6445433582661806,0.14997274545190328,0.95
negative,Mathematics,0.4876023370772599,0.21704681879064228,12,0.349697367686684,0.6255073064678358,0.13790496939057592,0.95
negative,Mechanical_Engineering,0.6148954572776953,0.18727924791493145,12,0.4959039000869378,0.7338870144684528,0.11899155719075753,0.95
negative,Physics,0.3887882640507693,0.28652955496588456,12,0.2067360703018267,0.5708404577997119,0.18205219374894263,0.95
negative,Statistics,0.3968240946608905,0.28078550357163773,12,0.21842149705030722,0.5752266922714738,0.1784025976105833,0.95
neutral,AI,0.6685290085772673,0.1626942011595455,12,0.5651580448564267,0.7718999722981078,0.1033709637208405,0.95
neutral,Archaeology,0.5318445024080575,0.23568351819643238,12,0.38209833914319635,0.6815906656729186,0.14974616326486115,0.95
neutral,Biology,0.45848342602451647,0.21577775439095656,12,0.32138478168476814,0.5955820703642648,0.13709864433974833,0.95
neutral,Chemistry,0.4670868922024965,0.20814821196718775,12,0.33483582784699484,0.5993379565579982,0.13225106435550163,0.95
neutral,Civil_Engineering,0.6322477546830972,0.16357235271405554,12,0.528318840083641,0.7361766692825534,0.10392891459945623,0.95
neutral,Computer_Science,0.6372938685119153,0.16843391012008477,12,0.5302760677034625,0.7443116693203681,0.1070178008084528,0.95
neutral,Earth_Science,0.6546880327165127,0.15512367939511584,12,0.5561271490420486,0.7532489163909767,0.098560883674464,0.95
neutral,Economics,0.48099942474315566,0.21843585435584653,12,0.3422119042598283,0.619786945226483,0.1387875204833274,0.95
neutral,Electrical_Engineering,0.6311864823102951,0.15981902536794945,12,0.5296423181331744,0.7327306464874157,0.1015441641771207,0.95
neutral,Literature,0.5067968097825845,0.2121496781195474,12,0.37200333512900396,0.641590284436165,0.1347934746535805,0.95
neutral,Mathematics,0.47814584976683056,0.2049227381497422,12,0.3479441537022044,0.6083475458314567,0.13020169606462617,0.95
neutral,Mechanical_Engineering,0.6394388062258561,0.1584706458054437,12,0.5387513615497643,0.740126250901948,0.10068744467609177,0.95
neutral,Physics,0.41187529027617226,0.24162863868950146,12,0.2583517776625017,0.5653988028898428,0.1535235126136705,0.95
neutral,Statistics,0.41831723670475185,0.23518394691570568,12,0.26888848588832415,0.5677459875211796,0.1494287508164277,0.95
positive,AI,0.6652330252031485,0.177428688151086,12,0.5525002150895526,0.7779658353167445,0.11273281011359598,0.95
positive,Archaeology,0.5491463297046721,0.22533323024315943,12,0.4059764256604381,0.6923162337489062,0.143169904044234,0.95
positive,Biology,0.4698901237687096,0.22530967078889205,12,0.3267351886875671,0.613045058849852,0.1431549350811425,0.95
positive,Chemistry,0.47452258947887455,0.2239812181928227,12,0.33221171290832685,0.6168334660494222,0.14231087657054767,0.95
positive,Civil_Engineering,0.6348585986842712,0.18129130381411426,12,0.5196715996645882,0.7500455977039542,0.11518699901968299,0.95
positive,Computer_Science,0.6435594882816077,0.18090720051025616,12,0.5286165368579987,0.7585024397052167,0.11494295142360897,0.95
positive,Earth_Science,0.655277331918478,0.17533585800841303,12,0.543874242638263,0.7666804211986931,0.11140308928021497,0.95
positive,Economics,0.4913409140271445,0.23009102436077472,12,0.3451480518220297,0.6375337762322594,0.14619286220511482,0.95
positive,Electrical_Engineering,0.6349361968537172,0.17691581778566992,12,0.5225292490238355,0.7473431446835989,0.11240694782988171,0.95
positive,Literature,0.5190726823018242,0.2297239971820061,12,0.37311301804052455,0.6650323465631239,0.1459596642612997,0.95
positive,Mathematics,0.48462190428593505,0.22224526629088842,12,0.34341399893253605,0.625829809639334,0.141207905353399,0.95
positive,Mechanical_Engineering,0.6408053061614434,0.1787371578885413,12,0.5272411340398822,0.7543694782830046,0.11356417212156128,0.95
positive,Physics,0.42000366140079365,0.2522581091919199,12,0.25972650543753795,0.5802808173640494,0.16027715596325567,0.95
positive,Statistics,0.4288442119024694,0.2428009983004802,12,0.27457581752933524,0.5831126062756036,0.1542683943731342,0.95
