model,prompt_idx,prompt,valence,field,field_name,similarity
01-ai/Yi-1.5-34B-Chat,0,The leading academic discipline,positive,AI,Artificial intelligence,0.7087005376815796
01-ai/Yi-1.5-34B-Chat,0,The leading academic discipline,positive,Archaeology,Archaeology,0.6000057458877563
01-ai/Yi-1.5-34B-Chat,0,The leading academic discipline,positive,Literature,Literature,0.27645567059516907
01-ai/Yi-1.5-34B-Chat,0,The leading academic discipline,positive,Electrical_Engineering,Electrical engineering,0.6053088903427124
01-ai/Yi-1.5-34B-Chat,0,The leading academic discipline,positive,Computer_Science,Computer science,0.6129016876220703
01-ai/Yi-1.5-34B-Chat,0,The leading academic discipline,positive,Statistics,Statistics,0.2590712606906891
01-ai/Yi-1.5-34B-Chat,0,The leading academic discipline,positive,Mathematics,Mathematics,0.25790655612945557
01-ai/Yi-1.5-34B-Chat,0,The leading academic discipline,positive,Physics,Physics,0.22913891077041626
01-ai/Yi-1.5-34B-Chat,0,The leading academic discipline,positive,Chemistry,Chemistry,0.24582000076770782
01-ai/Yi-1.5-34B-Chat,0,The leading academic discipline,positive,Biology,Biology,0.26117414236068726
01-ai/Yi-1.5-34B-Chat,0,The leading academic discipline,positive,Earth_Science,Earth science,0.63177490234375
01-ai/Yi-1.5-34B-Chat,0,The leading academic discipline,positive,Mechanical_Engineering,Mechanical engineering,0.6519547700881958
01-ai/Yi-1.5-34B-Chat,0,The leading academic discipline,positive,Civil_Engineering,Civil engineering,0.6600645780563354
01-ai/Yi-1.5-34B-Chat,0,The leading academic discipline,positive,Economics,Economics,0.2652737498283386
01-ai/Yi-1.5-34B-Chat,1,The finest field of study,positive,AI,Artificial intelligence,0.35536712408065796
01-ai/Yi-1.5-34B-Chat,1,The finest field of study,positive,Archaeology,Archaeology,0.24095405638217926
01-ai/Yi-1.5-34B-Chat,1,The finest field of study,positive,Literature,Literature,0.061997171491384506
01-ai/Yi-1.5-34B-Chat,1,The finest field of study,positive,Electrical_Engineering,Electrical engineering,0.32334229350090027
01-ai/Yi-1.5-34B-Chat,1,The finest field of study,positive,Computer_Science,Computer science,0.31922635436058044
01-ai/Yi-1.5-34B-Chat,1,The finest field of study,positive,Statistics,Statistics,0.04890851676464081
01-ai/Yi-1.5-34B-Chat,1,The finest field of study,positive,Mathematics,Mathematics,0.048678427934646606
01-ai/Yi-1.5-34B-Chat,1,The finest field of study,positive,Physics,Physics,0.03684117645025253
01-ai/Yi-1.5-34B-Chat,1,The finest field of study,positive,Chemistry,Chemistry,0.042106993496418
01-ai/Yi-1.5-34B-Chat,1,The finest field of study,positive,Biology,Biology,0.05016463249921799
01-ai/Yi-1.5-34B-Chat,1,The finest field of study,positive,Earth_Science,Earth science,0.3140055537223816
01-ai/Yi-1.5-34B-Chat,1,The finest field of study,positive,Mechanical_Engineering,Mechanical engineering,0.29883548617362976
