model,prompt_idx,prompt,valence,field,field_name,similarity
dphn/dolphin-2.9.1-yi-1.5-34b,0,The leading academic discipline,positive,AI,Artificial intelligence,0.852830708026886
dphn/dolphin-2.9.1-yi-1.5-34b,0,The leading academic discipline,positive,Archaeology,Archaeology,0.7777135968208313
dphn/dolphin-2.9.1-yi-1.5-34b,0,The leading academic discipline,positive,Literature,Literature,0.47770076990127563
dphn/dolphin-2.9.1-yi-1.5-34b,0,The leading academic discipline,positive,Electrical_Engineering,Electrical engineering,0.801959216594696
dphn/dolphin-2.9.1-yi-1.5-34b,0,The leading academic discipline,positive,Computer_Science,Computer science,0.7859371900558472
dphn/dolphin-2.9.1-yi-1.5-34b,0,The leading academic discipline,positive,Statistics,Statistics,0.406476229429245
dphn/dolphin-2.9.1-yi-1.5-34b,0,The leading academic discipline,positive,Mathematics,Mathematics,0.4459204077720642
dphn/dolphin-2.9.1-yi-1.5-34b,0,The leading academic discipline,positive,Physics,Physics,0.3902243971824646
dphn/dolphin-2.9.1-yi-1.5-34b,0,The leading academic discipline,positive,Chemistry,Chemistry,0.40898483991622925
dphn/dolphin-2.9.1-yi-1.5-34b,0,The leading academic discipline,positive,Biology,Biology,0.4439152777194977
dphn/dolphin-2.9.1-yi-1.5-34b,0,The leading academic discipline,positive,Earth_Science,Earth science,0.8442386984825134
dphn/dolphin-2.9.1-yi-1.5-34b,0,The leading academic discipline,positive,Mechanical_Engineering,Mechanical engineering,0.822729766368866
dphn/dolphin-2.9.1-yi-1.5-34b,0,The leading academic discipline,positive,Civil_Engineering,Civil engineering,0.8228498101234436
dphn/dolphin-2.9.1-yi-1.5-34b,0,The leading academic discipline,positive,Economics,Economics,0.43060022592544556
dphn/dolphin-2.9.1-yi-1.5-34b,1,The finest field of study,positive,AI,Artificial intelligence,0.8105761408805847
dphn/dolphin-2.9.1-yi-1.5-34b,1,The finest field of study,positive,Archaeology,Archaeology,0.6976954340934753
dphn/dolphin-2.9.1-yi-1.5-34b,1,The finest field of study,positive,Literature,Literature,0.4582214951515198
dphn/dolphin-2.9.1-yi-1.5-34b,1,The finest field of study,positive,Electrical_Engineering,Electrical engineering,0.7579112648963928
dphn/dolphin-2.9.1-yi-1.5-34b,1,The finest field of study,positive,Computer_Science,Computer science,0.7296010255813599
dphn/dolphin-2.9.1-yi-1.5-34b,1,The finest field of study,positive,Statistics,Statistics,0.37505674362182617
dphn/dolphin-2.9.1-yi-1.5-34b,1,The finest field of study,positive,Mathematics,Mathematics,0.4202335774898529
dphn/dolphin-2.9.1-yi-1.5-34b,1,The finest field of study,positive,Physics,Physics,0.3628466725349426
dphn/dolphin-2.9.1-yi-1.5-34b,1,The finest field of study,positive,Chemistry,Chemistry,0.3799305260181427
dphn/dolphin-2.9.1-yi-1.5-34b,1,The finest field of study,positive,Biology,Biology,0.40934813022613525
dphn/dolphin-2.9.1-yi-1.5-34b,1,The finest field of study,positive,Earth_Science,Earth science,0.7976918816566467
dphn/dolphin-2.9.1-yi-1.5-34b,1,The finest field of study,positive,Mechanical_Engineering,Mechanical engineering,0.7849870920181274
dphn/dolphin-2.9.1-yi-1.5-34b,1,The finest field of study,positive,Civil_Engineering,Civil engineering,0.7611870169639587
dphn/dolphin-2.9.1-yi-1.5-34b,1,The finest field of study,positive,Economics,Economics,0.3969956040382385
dphn/dolphin-2.9.1-yi-1.5-34b,2,The top scholarly domain,positive,AI,Artificial intelligence,0.8084717392921448
dphn/dolphin-2.9.1-yi-1.5-34b,2,The top scholarly domain,positive,Archaeology,Archaeology,0.7100633382797241
dphn/dolphin-2.9.1-yi-1.5-34b,2,The top scholarly domain,positive,Literature,Literature,0.4718396067619324
dphn/dolphin-2.9.1-yi-1.5-34b,2,The top scholarly domain,positive,Electrical_Engineering,Electrical engineering,0.7468871474266052
dphn/dolphin-2.9.1-yi-1.5-34b,2,The top scholarly domain,positive,Computer_Science,Computer science,0.7362658977508545
dphn/dolphin-2.9.1-yi-1.5-34b,2,The top scholarly domain,positive,Statistics,Statistics,0.39639946818351746
dphn/dolphin-2.9.1-yi-1.5-34b,2,The top scholarly domain,positive,Mathematics,Mathematics,0.43601301312446594
dphn/dolphin-2.9.1-yi-1.5-34b,2,The top scholarly domain,positive,Physics,Physics,0.3824330270290375
dphn/dolphin-2.9.1-yi-1.5-34b,2,The top scholarly domain,positive,Chemistry,Chemistry,0.3981746733188629
dphn/dolphin-2.9.1-yi-1.5-34b,2,The top scholarly domain,positive,Biology,Biology,0.4304189085960388
dphn/dolphin-2.9.1-yi-1.5-34b,2,The top scholarly domain,positive,Earth_Science,Earth science,0.7911640405654907
dphn/dolphin-2.9.1-yi-1.5-34b,2,The top scholarly domain,positive,Mechanical_Engineering,Mechanical engineering,0.775117814540863
dphn/dolphin-2.9.1-yi-1.5-34b,2,The top scholarly domain,positive,Civil_Engineering,Civil engineering,0.7556455135345459
