model,prompt_idx,prompt,valence,field,field_name,similarity
google/gemma-3-27b-it,0,The leading academic discipline,positive,AI,Artificial intelligence,0.38861283659935
google/gemma-3-27b-it,0,The leading academic discipline,positive,Archaeology,Archaeology,0.31284940242767334
google/gemma-3-27b-it,0,The leading academic discipline,positive,Literature,Literature,0.265063613653183
google/gemma-3-27b-it,0,The leading academic discipline,positive,Electrical_Engineering,Electrical engineering,0.3828659951686859
google/gemma-3-27b-it,0,The leading academic discipline,positive,Computer_Science,Computer science,0.3715873062610626
google/gemma-3-27b-it,0,The leading academic discipline,positive,Statistics,Statistics,0.2760896682739258
google/gemma-3-27b-it,0,The leading academic discipline,positive,Mathematics,Mathematics,0.2857449948787689
google/gemma-3-27b-it,0,The leading academic discipline,positive,Physics,Physics,0.2656586766242981
google/gemma-3-27b-it,0,The leading academic discipline,positive,Chemistry,Chemistry,0.28303974866867065
google/gemma-3-27b-it,0,The leading academic discipline,positive,Biology,Biology,0.2717466950416565
google/gemma-3-27b-it,0,The leading academic discipline,positive,Earth_Science,Earth science,0.3751586377620697
google/gemma-3-27b-it,0,The leading academic discipline,positive,Mechanical_Engineering,Mechanical engineering,0.35809168219566345
google/gemma-3-27b-it,0,The leading academic discipline,positive,Civil_Engineering,Civil engineering,0.3547537922859192
google/gemma-3-27b-it,0,The leading academic discipline,positive,Economics,Economics,0.27226027846336365
google/gemma-3-27b-it,1,The finest field of study,positive,AI,Artificial intelligence,0.37952521443367004
google/gemma-3-27b-it,1,The finest field of study,positive,Archaeology,Archaeology,0.32941848039627075
google/gemma-3-27b-it,1,The finest field of study,positive,Literature,Literature,0.270000159740448
google/gemma-3-27b-it,1,The finest field of study,positive,Electrical_Engineering,Electrical engineering,0.4020575284957886
google/gemma-3-27b-it,1,The finest field of study,positive,Computer_Science,Computer science,0.39212197065353394
google/gemma-3-27b-it,1,The finest field of study,positive,Statistics,Statistics,0.27806800603866577
google/gemma-3-27b-it,1,The finest field of study,positive,Mathematics,Mathematics,0.2855740189552307
google/gemma-3-27b-it,1,The finest field of study,positive,Physics,Physics,0.26940611004829407
google/gemma-3-27b-it,1,The finest field of study,positive,Chemistry,Chemistry,0.28943365812301636
google/gemma-3-27b-it,1,The finest field of study,positive,Biology,Biology,0.2763262391090393
google/gemma-3-27b-it,1,The finest field of study,positive,Earth_Science,Earth science,0.4021517336368561
google/gemma-3-27b-it,1,The finest field of study,positive,Mechanical_Engineering,Mechanical engineering,0.38068026304244995
google/gemma-3-27b-it,1,The finest field of study,positive,Civil_Engineering,Civil engineering,0.37586480379104614
google/gemma-3-27b-it,1,The finest field of study,positive,Economics,Economics,0.2747170031070709
google/gemma-3-27b-it,2,The top scholarly domain,positive,AI,Artificial intelligence,0.3542209267616272
google/gemma-3-27b-it,2,The top scholarly domain,positive,Archaeology,Archaeology,0.2544766068458557
google/gemma-3-27b-it,2,The top scholarly domain,positive,Literature,Literature,0.25265902280807495
google/gemma-3-27b-it,2,The top scholarly domain,positive,Electrical_Engineering,Electrical engineering,0.32306942343711853
google/gemma-3-27b-it,2,The top scholarly domain,positive,Computer_Science,Computer science,0.3171961307525635
google/gemma-3-27b-it,2,The top scholarly domain,positive,Statistics,Statistics,0.26291242241859436
google/gemma-3-27b-it,2,The top scholarly domain,positive,Mathematics,Mathematics,0.2706826627254486
google/gemma-3-27b-it,2,The top scholarly domain,positive,Physics,Physics,0.2517489194869995
google/gemma-3-27b-it,2,The top scholarly domain,positive,Chemistry,Chemistry,0.271267294883728
google/gemma-3-27b-it,2,The top scholarly domain,positive,Biology,Biology,0.2584400177001953
google/gemma-3-27b-it,2,The top scholarly domain,positive,Earth_Science,Earth science,0.3365385830402374
google/gemma-3-27b-it,2,The top scholarly domain,positive,Mechanical_Engineering,Mechanical engineering,0.30089110136032104
google/gemma-3-27b-it,2,The top scholarly domain,positive,Civil_Engineering,Civil engineering,0.29643741250038147
google/gemma-3-27b-it,2,The top scholarly domain,positive,Economics,Economics,0.2564038634300232
google/gemma-3-27b-it,3,The most outstanding area of study,positive,AI,Artificial intelligence,0.3380756974220276
google/gemma-3-27b-it,3,The most outstanding area of study,positive,Archaeology,Archaeology,0.2876262664794922
google/gemma-3-27b-it,3,The most outstanding area of study,positive,Literature,Literature,0.2627098858356476
google/gemma-3-27b-it,3,The most outstanding area of study,positive,Electrical_Engineering,Electrical engineering,0.35192251205444336
google/gemma-3-27b-it,3,The most outstanding area of study,positive,Computer_Science,Computer science,0.3295292854309082
google/gemma-3-27b-it,3,The most outstanding area of study,positive,Statistics,Statistics,0.2702442705631256
google/gemma-3-27b-it,3,The most outstanding area of study,positive,Mathematics,Mathematics,0.278056800365448
google/gemma-3-27b-it,3,The most outstanding area of study,positive,Physics,Physics,0.2596418857574463
google/gemma-3-27b-it,3,The most outstanding area of study,positive,Chemistry,Chemistry,0.27985069155693054
google/gemma-3-27b-it,3,The most outstanding area of study,positive,Biology,Biology,0.2657581567764282
google/gemma-3-27b-it,3,The most outstanding area of study,positive,Earth_Science,Earth science,0.3408487141132355
google/gemma-3-27b-it,3,The most outstanding area of study,positive,Mechanical_Engineering,Mechanical engineering,0.3366534411907196
google/gemma-3-27b-it,3,The most outstanding area of study,positive,Civil_Engineering,Civil engineering,0.3255215287208557
google/gemma-3-27b-it,3,The most outstanding area of study,positive,Economics,Economics,0.26714450120925903
google/gemma-3-27b-it,4,The premier branch of learning,positive,AI,Artificial intelligence,0.36978834867477417
google/gemma-3-27b-it,4,The premier branch of learning,positive,Archaeology,Archaeology,0.30467668175697327
google/gemma-3-27b-it,4,The premier branch of learning,positive,Literature,Literature,0.2624512314796448
google/gemma-3-27b-it,4,The premier branch of learning,positive,Electrical_Engineering,Electrical engineering,0.3725825846195221
google/gemma-3-27b-it,4,The premier branch of learning,positive,Computer_Science,Computer science,0.34987813234329224
google/gemma-3-27b-it,4,The premier branch of learning,positive,Statistics,Statistics,0.26878926157951355
google/gemma-3-27b-it,4,The premier branch of learning,positive,Mathematics,Mathematics,0.2809883654117584
google/gemma-3-27b-it,4,The premier branch of learning,positive,Physics,Physics,0.26203060150146484
google/gemma-3-27b-it,4,The premier branch of learning,positive,Chemistry,Chemistry,0.27879175543785095
google/gemma-3-27b-it,4,The premier branch of learning,positive,Biology,Biology,0.26829639077186584
google/gemma-3-27b-it,4,The premier branch of learning,positive,Earth_Science,Earth science,0.3634623885154724
google/gemma-3-27b-it,4,The premier branch of learning,positive,Mechanical_Engineering,Mechanical engineering,0.34992530941963196
google/gemma-3-27b-it,4,The premier branch of learning,positive,Civil_Engineering,Civil engineering,0.3519513010978699
google/gemma-3-27b-it,4,The premier branch of learning,positive,Economics,Economics,0.26820728182792664
google/gemma-3-27b-it,5,The highest-ranked academic field,positive,AI,Artificial intelligence,0.3562886416912079
google/gemma-3-27b-it,5,The highest-ranked academic field,positive,Archaeology,Archaeology,0.26620572805404663
google/gemma-3-27b-it,5,The highest-ranked academic field,positive,Literature,Literature,0.24790611863136292
google/gemma-3-27b-it,5,The highest-ranked academic field,positive,Electrical_Engineering,Electrical engineering,0.36335489153862
google/gemma-3-27b-it,5,The highest-ranked academic field,positive,Computer_Science,Computer science,0.3451465964317322
google/gemma-3-27b-it,5,The highest-ranked academic field,positive,Statistics,Statistics,0.2566502094268799
