model,prompt_idx,prompt,valence,field,field_name,similarity
meta-llama/Llama-3.3-70B-Instruct,0,The leading academic discipline,positive,AI,Artificial intelligence,0.5795361399650574
meta-llama/Llama-3.3-70B-Instruct,0,The leading academic discipline,positive,Archaeology,Archaeology,0.34272775053977966
meta-llama/Llama-3.3-70B-Instruct,0,The leading academic discipline,positive,Literature,Literature,0.3724808096885681
meta-llama/Llama-3.3-70B-Instruct,0,The leading academic discipline,positive,Electrical_Engineering,Electrical engineering,0.5689049363136292
meta-llama/Llama-3.3-70B-Instruct,0,The leading academic discipline,positive,Computer_Science,Computer science,0.5737944841384888
meta-llama/Llama-3.3-70B-Instruct,0,The leading academic discipline,positive,Statistics,Statistics,0.22074276208877563
meta-llama/Llama-3.3-70B-Instruct,0,The leading academic discipline,positive,Mathematics,Mathematics,0.3901698589324951
meta-llama/Llama-3.3-70B-Instruct,0,The leading academic discipline,positive,Physics,Physics,0.24265286326408386
meta-llama/Llama-3.3-70B-Instruct,0,The leading academic discipline,positive,Chemistry,Chemistry,0.33111944794654846
meta-llama/Llama-3.3-70B-Instruct,0,The leading academic discipline,positive,Biology,Biology,0.34000301361083984
meta-llama/Llama-3.3-70B-Instruct,0,The leading academic discipline,positive,Earth_Science,Earth science,0.5735508799552917
meta-llama/Llama-3.3-70B-Instruct,0,The leading academic discipline,positive,Mechanical_Engineering,Mechanical engineering,0.5635859966278076
meta-llama/Llama-3.3-70B-Instruct,0,The leading academic discipline,positive,Civil_Engineering,Civil engineering,0.5659206509590149
meta-llama/Llama-3.3-70B-Instruct,0,The leading academic discipline,positive,Economics,Economics,0.34827834367752075
meta-llama/Llama-3.3-70B-Instruct,1,The finest field of study,positive,AI,Artificial intelligence,0.5385660529136658
meta-llama/Llama-3.3-70B-Instruct,1,The finest field of study,positive,Archaeology,Archaeology,0.25867167115211487
meta-llama/Llama-3.3-70B-Instruct,1,The finest field of study,positive,Literature,Literature,0.2236981987953186
meta-llama/Llama-3.3-70B-Instruct,1,The finest field of study,positive,Electrical_Engineering,Electrical engineering,0.48297199606895447
meta-llama/Llama-3.3-70B-Instruct,1,The finest field of study,positive,Computer_Science,Computer science,0.45102933049201965
meta-llama/Llama-3.3-70B-Instruct,1,The finest field of study,positive,Statistics,Statistics,-0.049577102065086365
meta-llama/Llama-3.3-70B-Instruct,1,The finest field of study,positive,Mathematics,Mathematics,0.27978870272636414
meta-llama/Llama-3.3-70B-Instruct,1,The finest field of study,positive,Physics,Physics,-0.05117063969373703
meta-llama/Llama-3.3-70B-Instruct,1,The finest field of study,positive,Chemistry,Chemistry,0.205946147441864
meta-llama/Llama-3.3-70B-Instruct,1,The finest field of study,positive,Biology,Biology,0.2202366590499878
meta-llama/Llama-3.3-70B-Instruct,1,The finest field of study,positive,Earth_Science,Earth science,0.4437748193740845
meta-llama/Llama-3.3-70B-Instruct,1,The finest field of study,positive,Mechanical_Engineering,Mechanical engineering,0.48201972246170044
meta-llama/Llama-3.3-70B-Instruct,1,The finest field of study,positive,Civil_Engineering,Civil engineering,0.4686017334461212
meta-llama/Llama-3.3-70B-Instruct,1,The finest field of study,positive,Economics,Economics,0.23910260200500488
meta-llama/Llama-3.3-70B-Instruct,2,The top scholarly domain,positive,AI,Artificial intelligence,0.44267478585243225
meta-llama/Llama-3.3-70B-Instruct,2,The top scholarly domain,positive,Archaeology,Archaeology,0.301294207572937
meta-llama/Llama-3.3-70B-Instruct,2,The top scholarly domain,positive,Literature,Literature,0.345292329788208
meta-llama/Llama-3.3-70B-Instruct,2,The top scholarly domain,positive,Electrical_Engineering,Electrical engineering,0.4919460117816925
meta-llama/Llama-3.3-70B-Instruct,2,The top scholarly domain,positive,Computer_Science,Computer science,0.5272777676582336
meta-llama/Llama-3.3-70B-Instruct,2,The top scholarly domain,positive,Statistics,Statistics,0.29540449380874634
meta-llama/Llama-3.3-70B-Instruct,2,The top scholarly domain,positive,Mathematics,Mathematics,0.3283926546573639
meta-llama/Llama-3.3-70B-Instruct,2,The top scholarly domain,positive,Physics,Physics,0.32493242621421814
meta-llama/Llama-3.3-70B-Instruct,2,The top scholarly domain,positive,Chemistry,Chemistry,0.31118860840797424
meta-llama/Llama-3.3-70B-Instruct,2,The top scholarly domain,positive,Biology,Biology,0.2965053617954254
meta-llama/Llama-3.3-70B-Instruct,2,The top scholarly domain,positive,Earth_Science,Earth science,0.5184087157249451
meta-llama/Llama-3.3-70B-Instruct,2,The top scholarly domain,positive,Mechanical_Engineering,Mechanical engineering,0.494934618473053
meta-llama/Llama-3.3-70B-Instruct,2,The top scholarly domain,positive,Civil_Engineering,Civil engineering,0.48964083194732666
meta-llama/Llama-3.3-70B-Instruct,2,The top scholarly domain,positive,Economics,Economics,0.3026757538318634
