model,prompt_idx,prompt,valence,field,field_name,similarity
mistralai/Mixtral-8x7B-Instruct-v0.1,0,The leading academic discipline,positive,AI,Artificial intelligence,0.8887941241264343
mistralai/Mixtral-8x7B-Instruct-v0.1,0,The leading academic discipline,positive,Archaeology,Archaeology,0.8614656925201416
mistralai/Mixtral-8x7B-Instruct-v0.1,0,The leading academic discipline,positive,Literature,Literature,0.8208252191543579
mistralai/Mixtral-8x7B-Instruct-v0.1,0,The leading academic discipline,positive,Electrical_Engineering,Electrical engineering,0.8744012713432312
mistralai/Mixtral-8x7B-Instruct-v0.1,0,The leading academic discipline,positive,Computer_Science,Computer science,0.88914954662323
mistralai/Mixtral-8x7B-Instruct-v0.1,0,The leading academic discipline,positive,Statistics,Statistics,0.8698526620864868
mistralai/Mixtral-8x7B-Instruct-v0.1,0,The leading academic discipline,positive,Mathematics,Mathematics,0.8208202719688416
mistralai/Mixtral-8x7B-Instruct-v0.1,0,The leading academic discipline,positive,Physics,Physics,0.788338840007782
mistralai/Mixtral-8x7B-Instruct-v0.1,0,The leading academic discipline,positive,Chemistry,Chemistry,0.833703339099884
mistralai/Mixtral-8x7B-Instruct-v0.1,0,The leading academic discipline,positive,Biology,Biology,0.789731502532959
mistralai/Mixtral-8x7B-Instruct-v0.1,0,The leading academic discipline,positive,Earth_Science,Earth science,0.8774070739746094
mistralai/Mixtral-8x7B-Instruct-v0.1,0,The leading academic discipline,positive,Mechanical_Engineering,Mechanical engineering,0.8686237931251526
mistralai/Mixtral-8x7B-Instruct-v0.1,0,The leading academic discipline,positive,Civil_Engineering,Civil engineering,0.8778555989265442
mistralai/Mixtral-8x7B-Instruct-v0.1,0,The leading academic discipline,positive,Economics,Economics,0.8526498675346375
mistralai/Mixtral-8x7B-Instruct-v0.1,1,The finest field of study,positive,AI,Artificial intelligence,0.8994690179824829
mistralai/Mixtral-8x7B-Instruct-v0.1,1,The finest field of study,positive,Archaeology,Archaeology,0.8645393252372742
mistralai/Mixtral-8x7B-Instruct-v0.1,1,The finest field of study,positive,Literature,Literature,0.8147868514060974
mistralai/Mixtral-8x7B-Instruct-v0.1,1,The finest field of study,positive,Electrical_Engineering,Electrical engineering,0.888799786567688
mistralai/Mixtral-8x7B-Instruct-v0.1,1,The finest field of study,positive,Computer_Science,Computer science,0.9080555438995361
mistralai/Mixtral-8x7B-Instruct-v0.1,1,The finest field of study,positive,Statistics,Statistics,0.8657140731811523
mistralai/Mixtral-8x7B-Instruct-v0.1,1,The finest field of study,positive,Mathematics,Mathematics,0.8191636800765991
mistralai/Mixtral-8x7B-Instruct-v0.1,1,The finest field of study,positive,Physics,Physics,0.7870594263076782
mistralai/Mixtral-8x7B-Instruct-v0.1,1,The finest field of study,positive,Chemistry,Chemistry,0.8340732455253601
