model,valence,A_mean_sim_ai,B_mean_best_nonai,D_mean_ai_minus_best,D_prompt_ci_lo,D_prompt_ci_hi,win_rate_rank1,n_prompts
01-ai/Yi-1.5-34B-Chat,positive,0.71171875,0.6453125,10.307156156489421,8.981314200746299,11.632998112232544,1.0,10
01-ai/Yi-1.5-34B-Chat,negative,0.7046875,0.62578125,12.646287749078303,11.351559450669622,13.941016047486983,1.0,10
Qwen/Qwen3-32B,positive,0.787890625,0.753515625,5.314013718646405,-2.498245030730386,13.126272468023195,0.7,10
Qwen/Qwen3-32B,negative,0.771484375,0.712890625,8.612246365426719,2.1180232932860257,15.106469437567412,0.8,10
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,0.6984375,0.65078125,7.322428139414481,6.4514895938168975,8.193366685012066,1.0,10
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,0.69765625,0.647265625,7.794280179497315,6.89532257738814,8.693237781606491,1.0,10
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,0.63828125,0.637109375,0.3113119041936913,-2.5066604406165705,3.129284249003953,0.5,10
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,0.618359375,0.6109375,1.3053142550798116,-0.576609794822234,3.1872383049818573,0.7,10
dphn/dolphin-2.9.1-yi-1.5-34b,positive,0.733984375,0.694921875,5.656626320625354,4.91885661464042,6.394396026610288,1.0,10
dphn/dolphin-2.9.1-yi-1.5-34b,negative,0.727734375,0.68359375,6.469110730074862,5.859121089781341,7.079100370368383,1.0,10
google/gemma-2-27b-it,positive,0.869921875,0.879296875,-1.0694286684901155,-1.526670673429301,-0.6121866635509301,0.0,10
google/gemma-2-27b-it,negative,0.868359375,0.8703125,-0.23018473517689383,-0.7237559793361504,0.2633865089823628,0.3,10
google/gemma-3-27b-it,positive,0.659375,0.6515625,1.1772672856930586,0.5005165337181618,1.8540180376679554,0.9,10
google/gemma-3-27b-it,negative,0.6375,0.63046875,1.1067346585061257,0.4270148142215573,1.7864545027906942,0.7,10
meta-llama/Llama-3.1-70B-Instruct,positive,0.595703125,0.5470703125,9.020484768308624,5.91481537878707,12.126154157830177,1.0,10
meta-llama/Llama-3.1-70B-Instruct,negative,0.5318359375,0.4669921875,13.967165999168486,11.49761688905354,16.436715109283433,1.0,10
meta-llama/Llama-3.3-70B-Instruct,positive,0.644921875,0.644140625,0.15840879400364077,-1.935004443741016,2.2518220317482975,0.4,10
meta-llama/Llama-3.3-70B-Instruct,negative,0.58515625,0.56328125,3.91780526777426,1.6581800882796274,6.177430447268893,0.9,10
openai/gpt-oss-120b,positive,0.484765625,0.521875,-7.114875037916744,-8.931064620092496,-5.298685455740993,0.0,10
openai/gpt-oss-120b,negative,0.487109375,0.5220703125,-6.681861093998459,-7.569098224246333,-5.794623963750586,0.0,10
openai/gpt-oss-20b,positive,0.5921875,0.57109375,3.703205414104702,2.7896873353509024,4.616723492858502,1.0,10
openai/gpt-oss-20b,negative,0.585546875,0.562109375,4.1803241201561026,3.5275025021839523,4.833145738128253,1.0,10
zerofata/L3.3-GeneticLemonade-Final-v2-70B,positive,0.652734375,0.640234375,2.0100649333022,-0.3687780148355717,4.388907881439971,0.7,10
zerofata/L3.3-GeneticLemonade-Final-v2-70B,negative,0.6078125,0.5736328125,5.969184969558525,4.177227971598793,7.761141967518258,1.0,10
