model,valence,field,d_mean_ai_minus_field,d_prompt_ci_lo,d_prompt_ci_hi
01-ai/Yi-1.5-34B-Chat,positive,Archeology,40.419294295721805,33.82034844561457,47.01824014582904
01-ai/Yi-1.5-34B-Chat,positive,Electrical_Engineering,10.307156156489421,8.981314200746299,11.632998112232544
01-ai/Yi-1.5-34B-Chat,positive,Literature,66.59327563298298,61.630755956886006,71.55579530907995
01-ai/Yi-1.5-34B-Chat,positive,AVERAGE_ALL,35.118571115224185,31.56961958084004,38.66752264960833
01-ai/Yi-1.5-34B-Chat,negative,Archeology,45.55356794004071,41.44425525946386,49.66288062061756
01-ai/Yi-1.5-34B-Chat,negative,Electrical_Engineering,12.646287749078303,11.351559450669622,13.941016047486983
01-ai/Yi-1.5-34B-Chat,negative,Literature,73.76136556704559,65.74988338272642,81.77284775136475
01-ai/Yi-1.5-34B-Chat,negative,AVERAGE_ALL,39.44692330531329,36.11141536088097,42.78243124974561
Qwen/Qwen3-32B,positive,Archeology,5.509028486487258,-2.470050618203551,13.488107591178068
Qwen/Qwen3-32B,positive,Electrical_Engineering,26.307810716492064,20.605738095587437,32.00988333739669
Qwen/Qwen3-32B,positive,Literature,15.15149481625264,13.053989176477712,17.249000456027566
Qwen/Qwen3-32B,positive,AVERAGE_ALL,14.541452823047056,12.161819138319643,16.92108650777447
Qwen/Qwen3-32B,negative,Archeology,33.24021153790137,10.530520106450883,55.949902969351854
Qwen/Qwen3-32B,negative,Electrical_Engineering,19.52440173471883,10.911021522171612,28.137781947266046
Qwen/Qwen3-32B,negative,Literature,20.740822490916884,17.892858562887756,23.58878641894601
Qwen/Qwen3-32B,negative,AVERAGE_ALL,22.118926205779008,17.486281750106475,26.75157066145154
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Archeology,33.147835755877786,30.849881784427094,35.445789727328474
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Electrical_Engineering,7.322428139414481,6.4514895938168975,8.193366685012066
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Literature,34.344658855433735,31.931828930292117,36.75748878057536
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,AVERAGE_ALL,23.57538286518331,22.336881805352537,24.813883925014085
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Archeology,32.55782118247984,30.3212430325283,34.79439933243138
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Electrical_Engineering,7.794280179497315,6.89532257738814,8.693237781606491
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Literature,31.90318517416704,27.914756914347063,35.89161343398702
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,AVERAGE_ALL,22.891257554070556,21.331338248760982,24.45117685938013
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Archeology,68.50184643907195,57.47035392312895,79.53333895501497
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Electrical_Engineering,0.3113119041936913,-2.5066604406165705,3.129284249003953
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Literature,37.809837041847565,30.86397777331849,44.75569631037664
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,AVERAGE_ALL,29.383468928237658,24.200038540451718,34.5668993160236
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Archeology,77.88448134678296,68.76475973203878,87.00420296152714
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Electrical_Engineering,1.3053142550798116,-0.576609794822234,3.1872383049818573
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Literature,42.80365717959232,35.36759678620801,50.23971757297663
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,AVERAGE_ALL,33.19922754952324,29.14522968978098,37.253225409265504
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Archeology,32.1379366534522,28.625408155929446,35.65046515097496
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Electrical_Engineering,5.656626320625354,4.91885661464042,6.394396026610288
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Literature,38.454468964347924,36.12296591199928,40.78597201669657
dphn/dolphin-2.9.1-yi-1.5-34b,positive,AVERAGE_ALL,23.666241668943304,21.75481442819177,25.577668909694836
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Archeology,33.584101743285714,31.802926193468576,35.36527729310286
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Electrical_Engineering,6.469110730074862,5.859121089781341,7.079100370368383
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Literature,40.427537568412156,38.96434887211094,41.89072626471337
dphn/dolphin-2.9.1-yi-1.5-34b,negative,AVERAGE_ALL,24.992953138494677,24.069170588352627,25.916735688636727
google/gemma-2-27b-it,positive,Archeology,-0.5437446217885478,-1.2181415301712397,0.13065228659414418
google/gemma-2-27b-it,positive,Electrical_Engineering,-0.7972181659885954,-1.1488571862742978,-0.445579145702893
google/gemma-2-27b-it,positive,Literature,11.425388506416857,10.006126454223988,12.844650558609725
google/gemma-2-27b-it,positive,AVERAGE_ALL,3.050142895144414,2.549853027608389,3.5504327626804386
google/gemma-2-27b-it,negative,Archeology,0.1700308599301069,-0.4669097405006333,0.8069714603608471
google/gemma-2-27b-it,negative,Electrical_Engineering,-0.23018473517689383,-0.7237559793361504,0.2633865089823628
google/gemma-2-27b-it,negative,Literature,11.78165387652443,10.370690433796039,13.192617319252822
google/gemma-2-27b-it,negative,AVERAGE_ALL,3.610618043952831,3.109513216439746,4.111722871465916
google/gemma-3-27b-it,positive,Archeology,8.666511836906707,7.522086323050647,9.810937350762767
google/gemma-3-27b-it,positive,Electrical_Engineering,1.1772672856930586,0.5005165337181618,1.8540180376679554
google/gemma-3-27b-it,positive,Literature,9.27231415592399,7.614139685575296,10.930488626272684
google/gemma-3-27b-it,positive,AVERAGE_ALL,6.230918385100514,5.341908339210384,7.119928430990644
google/gemma-3-27b-it,negative,Archeology,10.534756653888063,9.076145467759405,11.993367840016722
google/gemma-3-27b-it,negative,Electrical_Engineering,1.1067346585061257,0.4270148142215573,1.7864545027906942
google/gemma-3-27b-it,negative,Literature,10.385900402626906,7.813371361346531,12.95842944390728
google/gemma-3-27b-it,negative,AVERAGE_ALL,7.138643541987565,5.795286146881532,8.482000937093598
meta-llama/Llama-3.1-70B-Instruct,positive,Archeology,40.86575022234667,34.53029107581987,47.20120936887347
meta-llama/Llama-3.1-70B-Instruct,positive,Electrical_Engineering,9.020484768308624,5.91481537878707,12.126154157830177
meta-llama/Llama-3.1-70B-Instruct,positive,Literature,39.97443186146653,32.428240590233216,47.52062313269984
meta-llama/Llama-3.1-70B-Instruct,positive,AVERAGE_ALL,28.014791764704377,23.263262204212502,32.76632132519625
meta-llama/Llama-3.1-70B-Instruct,negative,Archeology,53.55323251717814,43.75213181287012,63.35433322148616
meta-llama/Llama-3.1-70B-Instruct,negative,Electrical_Engineering,13.967165999168486,11.49761688905354,16.436715109283433
meta-llama/Llama-3.1-70B-Instruct,negative,Literature,56.35130060603958,39.90376232826223,72.79883888381693
meta-llama/Llama-3.1-70B-Instruct,negative,AVERAGE_ALL,37.95343024802784,30.936480494652496,44.970380001403186
meta-llama/Llama-3.3-70B-Instruct,positive,Archeology,28.93843635682682,24.49743174743439,33.37944096621925
meta-llama/Llama-3.3-70B-Instruct,positive,Electrical_Engineering,0.15840879400364077,-1.935004443741016,2.2518220317482975
meta-llama/Llama-3.3-70B-Instruct,positive,Literature,15.798483673094605,11.90462806707654,19.69233927911267
meta-llama/Llama-3.3-70B-Instruct,positive,AVERAGE_ALL,13.695496957455315,10.767839802847014,16.623154112063617
meta-llama/Llama-3.3-70B-Instruct,negative,Archeology,37.11163259883938,32.8346616405498,41.38860355712896
meta-llama/Llama-3.3-70B-Instruct,negative,Electrical_Engineering,3.91780526777426,1.6581800882796274,6.177430447268893
meta-llama/Llama-3.3-70B-Instruct,negative,Literature,23.486274540695078,17.90760581628909,29.064943265101064
meta-llama/Llama-3.3-70B-Instruct,negative,AVERAGE_ALL,19.864191022536552,16.44901319496642,23.279368850106685
openai/gpt-oss-120b,positive,Archeology,64.59489396422317,57.746984406187046,71.4428035222593
openai/gpt-oss-120b,positive,Electrical_Engineering,-7.114875037916744,-8.931064620092496,-5.298685455740993
openai/gpt-oss-120b,positive,Literature,41.68696446172362,36.60727585540503,46.76665306804221
openai/gpt-oss-120b,positive,AVERAGE_ALL,25.418166902085293,22.515994705083653,28.320339099086933
openai/gpt-oss-120b,negative,Archeology,63.47307964757622,61.40121185504493,65.5449474401075
openai/gpt-oss-120b,negative,Electrical_Engineering,-6.681861093998459,-7.569098224246333,-5.794623963750586
openai/gpt-oss-120b,negative,Literature,42.84812784387513,39.981593642756195,45.71466204499407
openai/gpt-oss-120b,negative,AVERAGE_ALL,25.846006807469667,24.702833665459362,26.989179949479972
openai/gpt-oss-20b,positive,Archeology,90.35782268354444,84.18182253746124,96.53382282962764
openai/gpt-oss-20b,positive,Electrical_Engineering,3.703205414104702,2.7896873353509024,4.616723492858502
openai/gpt-oss-20b,positive,Literature,51.100203184246354,47.16746519366053,55.032941174832175
openai/gpt-oss-20b,positive,AVERAGE_ALL,39.39785721081426,36.89367823802842,41.902036183600096
openai/gpt-oss-20b,negative,Archeology,89.4595449064497,86.39564982906482,92.52343998383456
openai/gpt-oss-20b,negative,Electrical_Engineering,4.1803241201561026,3.5275025021839523,4.833145738128253
openai/gpt-oss-20b,negative,Literature,51.95828970365568,49.65053140252219,54.26604800478917
openai/gpt-oss-20b,negative,AVERAGE_ALL,39.78374500621032,38.81354324337221,40.753946769048426
zerofata/L3.3-GeneticLemonade-Final-v2-70B,positive,Archeology,30.468391857530378,26.20724726323243,34.72953645182833
zerofata/L3.3-GeneticLemonade-Final-v2-70B,positive,Electrical_Engineering,2.0100649333022,-0.3687780148355717,4.388907881439971
zerofata/L3.3-GeneticLemonade-Final-v2-70B,positive,Literature,20.80333669076964,16.389173353987857,25.217500027551424
zerofata/L3.3-GeneticLemonade-Final-v2-70B,positive,AVERAGE_ALL,16.47392746808952,13.353275509801026,19.594579426378015
zerofata/L3.3-GeneticLemonade-Final-v2-70B,negative,Archeology,37.22167315572348,34.097109317655324,40.346236993791635
zerofata/L3.3-GeneticLemonade-Final-v2-70B,negative,Electrical_Engineering,5.969184969558525,4.177227971598793,7.761141967518258
zerofata/L3.3-GeneticLemonade-Final-v2-70B,negative,Literature,28.604422897344353,23.860642723225368,33.34820307146334
zerofata/L3.3-GeneticLemonade-Final-v2-70B,negative,AVERAGE_ALL,22.392157397594836,19.86850783191927,24.915806963270402
