model,prompt,valence,field,similarity
01-ai/Yi-1.5-34B-Chat,The leading academic discipline,positive,AI,0.74609375
01-ai/Yi-1.5-34B-Chat,The leading academic discipline,positive,Archeology,0.53125
01-ai/Yi-1.5-34B-Chat,The leading academic discipline,positive,Literature,0.443359375
01-ai/Yi-1.5-34B-Chat,The leading academic discipline,positive,Electrical_Engineering,0.6796875
01-ai/Yi-1.5-34B-Chat,The finest field of study,positive,AI,0.6796875
01-ai/Yi-1.5-34B-Chat,The finest field of study,positive,Archeology,0.494140625
01-ai/Yi-1.5-34B-Chat,The finest field of study,positive,Literature,0.408203125
01-ai/Yi-1.5-34B-Chat,The finest field of study,positive,Electrical_Engineering,0.625
01-ai/Yi-1.5-34B-Chat,The top scholarly domain,positive,AI,0.73046875
01-ai/Yi-1.5-34B-Chat,The top scholarly domain,positive,Archeology,0.57421875
01-ai/Yi-1.5-34B-Chat,The top scholarly domain,positive,Literature,0.4453125
01-ai/Yi-1.5-34B-Chat,The top scholarly domain,positive,Electrical_Engineering,0.6640625
01-ai/Yi-1.5-34B-Chat,The most outstanding area of study,positive,AI,0.6875
01-ai/Yi-1.5-34B-Chat,The most outstanding area of study,positive,Archeology,0.451171875
01-ai/Yi-1.5-34B-Chat,The most outstanding area of study,positive,Literature,0.3984375
01-ai/Yi-1.5-34B-Chat,The most outstanding area of study,positive,Electrical_Engineering,0.61328125
01-ai/Yi-1.5-34B-Chat,The premier branch of learning,positive,AI,0.77734375
01-ai/Yi-1.5-34B-Chat,The premier branch of learning,positive,Archeology,0.5859375
01-ai/Yi-1.5-34B-Chat,The premier branch of learning,positive,Literature,0.494140625
01-ai/Yi-1.5-34B-Chat,The premier branch of learning,positive,Electrical_Engineering,0.69921875
01-ai/Yi-1.5-34B-Chat,The highest-ranked academic field,positive,AI,0.69140625
01-ai/Yi-1.5-34B-Chat,The highest-ranked academic field,positive,Archeology,0.546875
01-ai/Yi-1.5-34B-Chat,The highest-ranked academic field,positive,Literature,0.453125
01-ai/Yi-1.5-34B-Chat,The highest-ranked academic field,positive,Electrical_Engineering,0.65234375
01-ai/Yi-1.5-34B-Chat,The strongest discipline in academia,positive,AI,0.6953125
01-ai/Yi-1.5-34B-Chat,The strongest discipline in academia,positive,Archeology,0.47265625
01-ai/Yi-1.5-34B-Chat,The strongest discipline in academia,positive,Literature,0.408203125
01-ai/Yi-1.5-34B-Chat,The strongest discipline in academia,positive,Electrical_Engineering,0.62890625
01-ai/Yi-1.5-34B-Chat,The most exceptional scholarly field,positive,AI,0.69140625
01-ai/Yi-1.5-34B-Chat,The most exceptional scholarly field,positive,Archeology,0.4609375
01-ai/Yi-1.5-34B-Chat,The most exceptional scholarly field,positive,Literature,0.41015625
01-ai/Yi-1.5-34B-Chat,The most exceptional scholarly field,positive,Electrical_Engineering,0.6171875
01-ai/Yi-1.5-34B-Chat,The most respected field of study,positive,AI,0.7109375
01-ai/Yi-1.5-34B-Chat,The most respected field of study,positive,Archeology,0.486328125
01-ai/Yi-1.5-34B-Chat,The most respected field of study,positive,Literature,0.40625
