model,prompt,valence,field,similarity
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The leading academic discipline,positive,AI,0.67578125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The leading academic discipline,positive,Archaeology,0.4765625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The leading academic discipline,positive,Literature,0.578125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The leading academic discipline,positive,Electrical_Engineering,0.67578125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The leading academic discipline,positive,Computer_Science,0.75
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The leading academic discipline,positive,Statistics,0.6015625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The leading academic discipline,positive,Mathematics,0.59765625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The leading academic discipline,positive,Physics,0.625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The leading academic discipline,positive,Chemistry,0.5546875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The leading academic discipline,positive,Biology,0.44921875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The leading academic discipline,positive,Earth_Science,0.70703125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The leading academic discipline,positive,Mechanical_Engineering,0.65234375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The leading academic discipline,positive,Civil_Engineering,0.75390625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The leading academic discipline,positive,Economics,0.46484375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The finest field of study,positive,AI,0.66015625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The finest field of study,positive,Archaeology,0.447265625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The finest field of study,positive,Literature,0.53125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The finest field of study,positive,Electrical_Engineering,0.62890625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The finest field of study,positive,Computer_Science,0.6796875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The finest field of study,positive,Statistics,0.5546875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The finest field of study,positive,Mathematics,0.54296875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The finest field of study,positive,Physics,0.578125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The finest field of study,positive,Chemistry,0.515625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The finest field of study,positive,Biology,0.400390625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The finest field of study,positive,Earth_Science,0.66796875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The finest field of study,positive,Mechanical_Engineering,0.62109375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The finest field of study,positive,Civil_Engineering,0.703125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The finest field of study,positive,Economics,0.40234375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The top scholarly domain,positive,AI,0.66015625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The top scholarly domain,positive,Archaeology,0.494140625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The top scholarly domain,positive,Literature,0.56640625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The top scholarly domain,positive,Electrical_Engineering,0.6640625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The top scholarly domain,positive,Computer_Science,0.73828125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The top scholarly domain,positive,Statistics,0.5859375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The top scholarly domain,positive,Mathematics,0.5859375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The top scholarly domain,positive,Physics,0.61328125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The top scholarly domain,positive,Chemistry,0.5546875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The top scholarly domain,positive,Biology,0.443359375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The top scholarly domain,positive,Earth_Science,0.69921875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The top scholarly domain,positive,Mechanical_Engineering,0.63671875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The top scholarly domain,positive,Civil_Engineering,0.734375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The top scholarly domain,positive,Economics,0.46875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most outstanding area of study,positive,AI,0.62109375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most outstanding area of study,positive,Archaeology,0.400390625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most outstanding area of study,positive,Literature,0.486328125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most outstanding area of study,positive,Electrical_Engineering,0.58984375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most outstanding area of study,positive,Computer_Science,0.640625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most outstanding area of study,positive,Statistics,0.51171875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most outstanding area of study,positive,Mathematics,0.498046875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most outstanding area of study,positive,Physics,0.5234375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most outstanding area of study,positive,Chemistry,0.453125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most outstanding area of study,positive,Biology,0.33984375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most outstanding area of study,positive,Earth_Science,0.61328125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most outstanding area of study,positive,Mechanical_Engineering,0.56640625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most outstanding area of study,positive,Civil_Engineering,0.6640625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most outstanding area of study,positive,Economics,0.345703125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The premier branch of learning,positive,AI,0.67578125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The premier branch of learning,positive,Archaeology,0.5078125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The premier branch of learning,positive,Literature,0.59765625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The premier branch of learning,positive,Electrical_Engineering,0.66015625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The premier branch of learning,positive,Computer_Science,0.71484375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The premier branch of learning,positive,Statistics,0.61328125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The premier branch of learning,positive,Mathematics,0.60546875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The premier branch of learning,positive,Physics,0.62890625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The premier branch of learning,positive,Chemistry,0.5625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The premier branch of learning,positive,Biology,0.44921875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The premier branch of learning,positive,Earth_Science,0.68359375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The premier branch of learning,positive,Mechanical_Engineering,0.640625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The premier branch of learning,positive,Civil_Engineering,0.73046875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The premier branch of learning,positive,Economics,0.4609375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The highest-ranked academic field,positive,AI,0.60546875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The highest-ranked academic field,positive,Archaeology,0.431640625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The highest-ranked academic field,positive,Literature,0.498046875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The highest-ranked academic field,positive,Electrical_Engineering,0.62109375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The highest-ranked academic field,positive,Computer_Science,0.6875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The highest-ranked academic field,positive,Statistics,0.5234375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The highest-ranked academic field,positive,Mathematics,0.5234375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The highest-ranked academic field,positive,Physics,0.55078125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The highest-ranked academic field,positive,Chemistry,0.490234375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The highest-ranked academic field,positive,Biology,0.380859375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The highest-ranked academic field,positive,Earth_Science,0.6484375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The highest-ranked academic field,positive,Mechanical_Engineering,0.59765625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The highest-ranked academic field,positive,Civil_Engineering,0.69921875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The highest-ranked academic field,positive,Economics,0.3984375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The strongest discipline in academia,positive,AI,0.6796875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The strongest discipline in academia,positive,Archaeology,0.4375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The strongest discipline in academia,positive,Literature,0.5234375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The strongest discipline in academia,positive,Electrical_Engineering,0.625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The strongest discipline in academia,positive,Computer_Science,0.6953125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The strongest discipline in academia,positive,Statistics,0.55078125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The strongest discipline in academia,positive,Mathematics,0.5546875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The strongest discipline in academia,positive,Physics,0.5625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The strongest discipline in academia,positive,Chemistry,0.50390625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The strongest discipline in academia,positive,Biology,0.3828125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The strongest discipline in academia,positive,Earth_Science,0.6640625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The strongest discipline in academia,positive,Mechanical_Engineering,0.61328125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The strongest discipline in academia,positive,Civil_Engineering,0.6953125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The strongest discipline in academia,positive,Economics,0.3984375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most exceptional scholarly field,positive,AI,0.65625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most exceptional scholarly field,positive,Archaeology,0.46875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most exceptional scholarly field,positive,Literature,0.5625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most exceptional scholarly field,positive,Electrical_Engineering,0.64453125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most exceptional scholarly field,positive,Computer_Science,0.71484375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most exceptional scholarly field,positive,Statistics,0.5625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most exceptional scholarly field,positive,Mathematics,0.5625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most exceptional scholarly field,positive,Physics,0.58984375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most exceptional scholarly field,positive,Chemistry,0.53125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most exceptional scholarly field,positive,Biology,0.41796875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most exceptional scholarly field,positive,Earth_Science,0.69140625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most exceptional scholarly field,positive,Mechanical_Engineering,0.62109375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most exceptional scholarly field,positive,Civil_Engineering,0.71875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most exceptional scholarly field,positive,Economics,0.431640625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most respected field of study,positive,AI,0.6328125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most respected field of study,positive,Archaeology,0.416015625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most respected field of study,positive,Literature,0.49609375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most respected field of study,positive,Electrical_Engineering,0.62890625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most respected field of study,positive,Computer_Science,0.67578125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most respected field of study,positive,Statistics,0.51953125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most respected field of study,positive,Mathematics,0.515625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most respected field of study,positive,Physics,0.54296875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most respected field of study,positive,Chemistry,0.48046875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most respected field of study,positive,Biology,0.3671875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most respected field of study,positive,Earth_Science,0.6484375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most respected field of study,positive,Mechanical_Engineering,0.59765625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most respected field of study,positive,Civil_Engineering,0.69140625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most respected field of study,positive,Economics,0.3828125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The ultimate academic domain,positive,AI,0.6640625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The ultimate academic domain,positive,Archaeology,0.466796875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The ultimate academic domain,positive,Literature,0.5859375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The ultimate academic domain,positive,Electrical_Engineering,0.65234375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The ultimate academic domain,positive,Computer_Science,0.7421875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The ultimate academic domain,positive,Statistics,0.625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The ultimate academic domain,positive,Mathematics,0.59375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The ultimate academic domain,positive,Physics,0.640625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The ultimate academic domain,positive,Chemistry,0.5625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The ultimate academic domain,positive,Biology,0.447265625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The ultimate academic domain,positive,Earth_Science,0.6953125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The ultimate academic domain,positive,Mechanical_Engineering,0.63671875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The ultimate academic domain,positive,Civil_Engineering,0.72265625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The ultimate academic domain,positive,Economics,0.46484375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most disappointing academic discipline,negative,AI,0.6015625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most disappointing academic discipline,negative,Archaeology,0.404296875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most disappointing academic discipline,negative,Literature,0.47265625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most disappointing academic discipline,negative,Electrical_Engineering,0.57421875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most disappointing academic discipline,negative,Computer_Science,0.66015625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most disappointing academic discipline,negative,Statistics,0.5
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most disappointing academic discipline,negative,Mathematics,0.49609375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most disappointing academic discipline,negative,Physics,0.5234375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most disappointing academic discipline,negative,Chemistry,0.455078125
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most disappointing academic discipline,negative,Biology,0.34765625
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most disappointing academic discipline,negative,Earth_Science,0.62109375
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most disappointing academic discipline,negative,Mechanical_Engineering,0.546875
zerofata/L3.3-GeneticLemonade-Final-v2-70B,The most disappointing academic discipline,negative,Civil_Engineering,0.65234375
