model,valence,field,d_mean_ai_minus_field,d_prompt_ci_lo,d_prompt_ci_hi
01-ai/Yi-1.5-34B-Chat,positive,Archaeology,25.64532414684964,21.813090655809784,29.477557637889493
01-ai/Yi-1.5-34B-Chat,positive,Biology,76.11160163636775,71.42710954420787,80.79609372852764
01-ai/Yi-1.5-34B-Chat,positive,Chemistry,80.13588882888894,75.54567561615745,84.72610204162042
01-ai/Yi-1.5-34B-Chat,positive,Civil_Engineering,7.125000335508437,5.0388062083096035,9.21119446270727
01-ai/Yi-1.5-34B-Chat,positive,Computer_Science,21.354788472516155,18.59211637369119,24.11746057134112
01-ai/Yi-1.5-34B-Chat,positive,Earth_Science,5.089171395854318,3.650988086443946,6.527354705264689
01-ai/Yi-1.5-34B-Chat,positive,Economics,75.22207539995924,70.35344469420818,80.0907061057103
01-ai/Yi-1.5-34B-Chat,positive,Electrical_Engineering,11.943556912159805,10.394041697174986,13.493072127144623
01-ai/Yi-1.5-34B-Chat,positive,Literature,65.88925484720204,61.21068341338168,70.56782628102239
01-ai/Yi-1.5-34B-Chat,positive,Mathematics,74.16850804204053,69.6314925101581,78.70552357392296
01-ai/Yi-1.5-34B-Chat,positive,Mechanical_Engineering,5.970219010282463,5.059685179319807,6.880752841245119
01-ai/Yi-1.5-34B-Chat,positive,Physics,90.25393987155552,83.81805344433913,96.6898262987719
01-ai/Yi-1.5-34B-Chat,positive,Statistics,77.90068621299693,73.18732235933726,82.6140500666566
01-ai/Yi-1.5-34B-Chat,positive,AVERAGE_ALL,39.736972903271955,37.059339759423025,42.414606047120884
01-ai/Yi-1.5-34B-Chat,negative,Archaeology,30.805180943325837,27.974293065105083,33.636068821546594
01-ai/Yi-1.5-34B-Chat,negative,Biology,83.02704694849699,74.10513850508988,91.9489553919041
01-ai/Yi-1.5-34B-Chat,negative,Chemistry,86.34968339031947,76.9747317038984,95.72463507674054
01-ai/Yi-1.5-34B-Chat,negative,Civil_Engineering,10.034642276706562,8.708423100365613,11.36086145304751
01-ai/Yi-1.5-34B-Chat,negative,Computer_Science,25.68336107950704,24.140527357360558,27.226194801653524
01-ai/Yi-1.5-34B-Chat,negative,Earth_Science,6.701893137134533,4.935300448277814,8.468485825991253
01-ai/Yi-1.5-34B-Chat,negative,Economics,82.00966351800682,73.1939490999683,90.82537793604534
01-ai/Yi-1.5-34B-Chat,negative,Electrical_Engineering,14.503573538469757,12.759041213851855,16.24810586308766
01-ai/Yi-1.5-34B-Chat,negative,Literature,72.72680649145174,64.65804322898276,80.79556975392072
01-ai/Yi-1.5-34B-Chat,negative,Mathematics,80.50701602094965,71.60918479528833,89.40484724661097
01-ai/Yi-1.5-34B-Chat,negative,Mechanical_Engineering,8.345699698974144,6.920424609012061,9.770974788936227
01-ai/Yi-1.5-34B-Chat,negative,Physics,98.94958718372118,87.28134431213583,110.61783005530653
01-ai/Yi-1.5-34B-Chat,negative,Statistics,84.7375841217195,75.49795009287314,93.97721815056585
01-ai/Yi-1.5-34B-Chat,negative,AVERAGE_ALL,44.151505939539064,40.18744693720467,48.11556494187346
Qwen/Qwen3-32B,positive,Archaeology,18.80407943882135,8.662989276996464,28.94516960064624
Qwen/Qwen3-32B,positive,Biology,55.96458072328562,52.25558443170145,59.67357701486979
Qwen/Qwen3-32B,positive,Chemistry,69.28584716599686,61.508372563224626,77.06332176876909
Qwen/Qwen3-32B,positive,Civil_Engineering,42.18042159234833,35.69119318833123,48.66964999636543
Qwen/Qwen3-32B,positive,Computer_Science,-1.0357837912470416,-4.420590930036248,2.349023347542165
Qwen/Qwen3-32B,positive,Earth_Science,13.881637955237064,10.83729944961114,16.92597646086299
Qwen/Qwen3-32B,positive,Economics,153.22830740128296,131.06858545677628,175.38802934578965
Qwen/Qwen3-32B,positive,Electrical_Engineering,26.75418770373591,20.942849356858922,32.565526050612895
Qwen/Qwen3-32B,positive,Literature,14.695743310681262,12.754542854472765,16.636943766889758
Qwen/Qwen3-32B,positive,Mathematics,213.6990461669915,171.18769076638145,256.2104015676016
Qwen/Qwen3-32B,positive,Mechanical_Engineering,16.305393790641237,11.393098225902706,21.21768935537977
Qwen/Qwen3-32B,positive,Physics,46.46991968321847,39.54550487740611,53.39433448903083
Qwen/Qwen3-32B,positive,Statistics,51.81328592565486,42.97333616758596,60.65323568372376
Qwen/Qwen3-32B,positive,AVERAGE_ALL,39.994648945592694,38.434106876593574,41.55519101459181
Qwen/Qwen3-32B,negative,Archaeology,55.11901931738257,22.588526775579382,87.64951185918576
Qwen/Qwen3-32B,negative,Biology,55.63982101301406,48.61330535432614,62.66633667170198
Qwen/Qwen3-32B,negative,Chemistry,62.4380903325108,48.54556188155824,76.33061878346335
Qwen/Qwen3-32B,negative,Civil_Engineering,32.792963389549996,23.369434213526233,42.21649256557376
Qwen/Qwen3-32B,negative,Computer_Science,6.769781928597576,-1.1163888220692444,14.655952679264395
Qwen/Qwen3-32B,negative,Earth_Science,10.153296658475506,5.778718237211703,14.52787507973931
Qwen/Qwen3-32B,negative,Economics,135.95401224870798,98.05505921338587,173.8529652840301
Qwen/Qwen3-32B,negative,Electrical_Engineering,19.635657253886954,11.317598699870285,27.953715807903624
Qwen/Qwen3-32B,negative,Literature,20.009839176369304,17.245017102635973,22.774661250102636
Qwen/Qwen3-32B,negative,Mathematics,174.0330663158508,106.98847739362355,241.07765523807802
Qwen/Qwen3-32B,negative,Mechanical_Engineering,10.222927869961866,3.4427583705765317,17.003097369347202
Qwen/Qwen3-32B,negative,Physics,62.10597780648693,47.921143465091376,76.29081214788249
Qwen/Qwen3-32B,negative,Statistics,72.76262678916399,53.29058165907483,92.23467191925315
Qwen/Qwen3-32B,negative,AVERAGE_ALL,41.02814423242308,38.327874509961006,43.728413954885156
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Archaeology,37.45315752284681,34.873585369519816,40.0327296761738
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Biology,76.29849201562327,71.0648933333786,81.53209069786793
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Chemistry,56.2322531902728,52.221589808284634,60.24291657226097
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Civil_Engineering,1.6890224373255542,0.3366168584319005,3.041428016219208
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Computer_Science,5.381471010808838,4.023871452160741,6.739070569456935
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Earth_Science,4.270931916907425,3.5200363642984858,5.021827469516364
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Economics,60.16702911895529,55.28616220417031,65.04789603374027
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Electrical_Engineering,7.252338700129995,6.363240987024907,8.141436413235082
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Literature,34.33657693582746,32.044628632089996,36.62852523956492
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Mathematics,36.98222425216413,34.150176364549594,39.814272139778666
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Mechanical_Engineering,10.03334181150776,8.891822830931105,11.174860792084417
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Physics,32.133249507634865,29.355504231382007,34.91099478388772
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,Statistics,35.55193443446718,32.65169294038362,38.45217592855074
Qwen/Qwen3-Next-80B-A3B-Instruct,positive,AVERAGE_ALL,26.65482572248058,25.098855935279424,28.210795509681738
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Archaeology,39.79358590838164,37.29458285304714,42.292588963716135
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Biology,74.62197147418847,68.19465591492816,81.04928703344878
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Chemistry,54.908156387478506,51.230440833535454,58.58587194142156
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Civil_Engineering,3.513932936880951,2.562758962851896,4.465106910910006
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Computer_Science,5.8240531663446395,4.409812591594922,7.238293741094357
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Earth_Science,3.8755567098029386,2.9091528226335863,4.8419605969722905
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Economics,55.2879406319686,50.698188041630786,59.87769322230642
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Electrical_Engineering,7.794280179497315,6.89532257738814,8.693237781606491
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Literature,31.840616950217044,28.00727827112935,35.673955629304736
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Mathematics,35.34399323687961,32.21415000499457,38.47383646876465
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Mechanical_Engineering,10.39191264675662,9.479170643081279,11.30465465043196
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Physics,30.6210833951614,28.679710768732004,32.5624560215908
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,Statistics,33.14557853171107,29.928823893814,36.362333169608135
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,AVERAGE_ALL,26.177643108267358,24.604748698827294,27.75053751770742
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Archaeology,46.17921699909932,37.064777347170505,55.29365665102813
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Biology,-722.7265985449983,-5172.900672206151,3727.4474751161542
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Chemistry,66.58262646814246,54.73689118408832,78.42836175219661
