model,prompt,valence,field,similarity
Qwen/Qwen3-32B,The leading academic discipline,positive,AI,0.79296875
Qwen/Qwen3-32B,The leading academic discipline,positive,Archaeology,0.6875
Qwen/Qwen3-32B,The leading academic discipline,positive,Literature,0.71484375
Qwen/Qwen3-32B,The leading academic discipline,positive,Electrical_Engineering,0.6328125
Qwen/Qwen3-32B,The leading academic discipline,positive,Computer_Science,0.80859375
Qwen/Qwen3-32B,The leading academic discipline,positive,Statistics,0.546875
Qwen/Qwen3-32B,The leading academic discipline,positive,Mathematics,0.279296875
Qwen/Qwen3-32B,The leading academic discipline,positive,Physics,0.56640625
Qwen/Qwen3-32B,The leading academic discipline,positive,Chemistry,0.486328125
Qwen/Qwen3-32B,The leading academic discipline,positive,Biology,0.5234375
Qwen/Qwen3-32B,The leading academic discipline,positive,Earth_Science,0.70703125
Qwen/Qwen3-32B,The leading academic discipline,positive,Mechanical_Engineering,0.6875
Qwen/Qwen3-32B,The leading academic discipline,positive,Civil_Engineering,0.5625
Qwen/Qwen3-32B,The leading academic discipline,positive,Economics,0.341796875
Qwen/Qwen3-32B,The finest field of study,positive,AI,0.796875
Qwen/Qwen3-32B,The finest field of study,positive,Archaeology,0.578125
Qwen/Qwen3-32B,The finest field of study,positive,Literature,0.6796875
Qwen/Qwen3-32B,The finest field of study,positive,Electrical_Engineering,0.68359375
Qwen/Qwen3-32B,The finest field of study,positive,Computer_Science,0.7578125
Qwen/Qwen3-32B,The finest field of study,positive,Statistics,0.486328125
Qwen/Qwen3-32B,The finest field of study,positive,Mathematics,0.28515625
Qwen/Qwen3-32B,The finest field of study,positive,Physics,0.51953125
Qwen/Qwen3-32B,The finest field of study,positive,Chemistry,0.50390625
Qwen/Qwen3-32B,The finest field of study,positive,Biology,0.515625
Qwen/Qwen3-32B,The finest field of study,positive,Earth_Science,0.734375
Qwen/Qwen3-32B,The finest field of study,positive,Mechanical_Engineering,0.74609375
Qwen/Qwen3-32B,The finest field of study,positive,Civil_Engineering,0.58203125
Qwen/Qwen3-32B,The finest field of study,positive,Economics,0.330078125
Qwen/Qwen3-32B,The top scholarly domain,positive,AI,0.80078125
Qwen/Qwen3-32B,The top scholarly domain,positive,Archaeology,0.67578125
Qwen/Qwen3-32B,The top scholarly domain,positive,Literature,0.70703125
Qwen/Qwen3-32B,The top scholarly domain,positive,Electrical_Engineering,0.6484375
Qwen/Qwen3-32B,The top scholarly domain,positive,Computer_Science,0.8125
Qwen/Qwen3-32B,The top scholarly domain,positive,Statistics,0.53515625
Qwen/Qwen3-32B,The top scholarly domain,positive,Mathematics,0.29296875
Qwen/Qwen3-32B,The top scholarly domain,positive,Physics,0.5546875
Qwen/Qwen3-32B,The top scholarly domain,positive,Chemistry,0.490234375
Qwen/Qwen3-32B,The top scholarly domain,positive,Biology,0.52734375
Qwen/Qwen3-32B,The top scholarly domain,positive,Earth_Science,0.71875
Qwen/Qwen3-32B,The top scholarly domain,positive,Mechanical_Engineering,0.6953125
Qwen/Qwen3-32B,The top scholarly domain,positive,Civil_Engineering,0.5859375
Qwen/Qwen3-32B,The top scholarly domain,positive,Economics,0.34375
Qwen/Qwen3-32B,The most outstanding area of study,positive,AI,0.8046875
Qwen/Qwen3-32B,The most outstanding area of study,positive,Archaeology,0.625
Qwen/Qwen3-32B,The most outstanding area of study,positive,Literature,0.6875
Qwen/Qwen3-32B,The most outstanding area of study,positive,Electrical_Engineering,0.65625
Qwen/Qwen3-32B,The most outstanding area of study,positive,Computer_Science,0.77734375
Qwen/Qwen3-32B,The most outstanding area of study,positive,Statistics,0.48046875
Qwen/Qwen3-32B,The most outstanding area of study,positive,Mathematics,0.29296875
Qwen/Qwen3-32B,The most outstanding area of study,positive,Physics,0.50390625
Qwen/Qwen3-32B,The most outstanding area of study,positive,Chemistry,0.486328125
Qwen/Qwen3-32B,The most outstanding area of study,positive,Biology,0.51953125
