model,prompt,valence,field,similarity
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,AI,0.6875
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Archaeology,0.51171875
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Literature,0.515625
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Electrical_Engineering,0.64453125
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Computer_Science,0.66015625
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Statistics,0.51171875
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Mathematics,0.50390625
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Physics,0.5234375
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Chemistry,0.443359375
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Biology,0.3984375
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Earth_Science,0.6484375
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Mechanical_Engineering,0.62890625
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Civil_Engineering,0.69140625
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Economics,0.4375
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,AI,0.7109375
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Archaeology,0.5078125
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Literature,0.51953125
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Electrical_Engineering,0.65625
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Computer_Science,0.66015625
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Statistics,0.515625
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Mathematics,0.51171875
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Physics,0.53125
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Chemistry,0.44921875
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Biology,0.3984375
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Earth_Science,0.6875
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Mechanical_Engineering,0.63671875
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Civil_Engineering,0.6796875
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Economics,0.439453125
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,AI,0.6796875
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Archaeology,0.51171875
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Literature,0.51171875
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Electrical_Engineering,0.6484375
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Computer_Science,0.66796875
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Statistics,0.50390625
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Mathematics,0.5
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Physics,0.5234375
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Chemistry,0.451171875
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Biology,0.39453125
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Earth_Science,0.6640625
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Mechanical_Engineering,0.62890625
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Civil_Engineering,0.6796875
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Economics,0.4375
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,AI,0.6953125
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Archaeology,0.49609375
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Literature,0.515625
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Electrical_Engineering,0.640625
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Computer_Science,0.6484375
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Statistics,0.51171875
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Mathematics,0.494140625
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Physics,0.515625
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Chemistry,0.4296875
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Biology,0.388671875
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Earth_Science,0.6640625
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Mechanical_Engineering,0.62109375
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Civil_Engineering,0.671875
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Economics,0.427734375
Qwen/Qwen3-Next-80B-A3B-Instruct,The premier branch of learning,positive,AI,0.72265625
