model,prompt,valence,field,similarity
mistralai/Mixtral-8x22B-Instruct-v0.1,The leading academic discipline,positive,AI,0.921875
mistralai/Mixtral-8x22B-Instruct-v0.1,The leading academic discipline,positive,Archaeology,0.85546875
mistralai/Mixtral-8x22B-Instruct-v0.1,The leading academic discipline,positive,Literature,0.87109375
mistralai/Mixtral-8x22B-Instruct-v0.1,The leading academic discipline,positive,Electrical_Engineering,0.91796875
mistralai/Mixtral-8x22B-Instruct-v0.1,The leading academic discipline,positive,Computer_Science,0.89453125
mistralai/Mixtral-8x22B-Instruct-v0.1,The leading academic discipline,positive,Statistics,0.80078125
mistralai/Mixtral-8x22B-Instruct-v0.1,The leading academic discipline,positive,Mathematics,0.8203125
mistralai/Mixtral-8x22B-Instruct-v0.1,The leading academic discipline,positive,Physics,0.8203125
mistralai/Mixtral-8x22B-Instruct-v0.1,The leading academic discipline,positive,Chemistry,0.81640625
mistralai/Mixtral-8x22B-Instruct-v0.1,The leading academic discipline,positive,Biology,0.80859375
mistralai/Mixtral-8x22B-Instruct-v0.1,The leading academic discipline,positive,Earth_Science,0.8984375
mistralai/Mixtral-8x22B-Instruct-v0.1,The leading academic discipline,positive,Mechanical_Engineering,0.9140625
mistralai/Mixtral-8x22B-Instruct-v0.1,The leading academic discipline,positive,Civil_Engineering,0.8984375
mistralai/Mixtral-8x22B-Instruct-v0.1,The leading academic discipline,positive,Economics,0.86328125
mistralai/Mixtral-8x22B-Instruct-v0.1,The finest field of study,positive,AI,0.921875
mistralai/Mixtral-8x22B-Instruct-v0.1,The finest field of study,positive,Archaeology,0.859375
mistralai/Mixtral-8x22B-Instruct-v0.1,The finest field of study,positive,Literature,0.87109375
mistralai/Mixtral-8x22B-Instruct-v0.1,The finest field of study,positive,Electrical_Engineering,0.9140625
mistralai/Mixtral-8x22B-Instruct-v0.1,The finest field of study,positive,Computer_Science,0.87890625
mistralai/Mixtral-8x22B-Instruct-v0.1,The finest field of study,positive,Statistics,0.77734375
mistralai/Mixtral-8x22B-Instruct-v0.1,The finest field of study,positive,Mathematics,0.80859375
mistralai/Mixtral-8x22B-Instruct-v0.1,The finest field of study,positive,Physics,0.81640625
mistralai/Mixtral-8x22B-Instruct-v0.1,The finest field of study,positive,Chemistry,0.8125
mistralai/Mixtral-8x22B-Instruct-v0.1,The finest field of study,positive,Biology,0.8046875
mistralai/Mixtral-8x22B-Instruct-v0.1,The finest field of study,positive,Earth_Science,0.89453125
mistralai/Mixtral-8x22B-Instruct-v0.1,The finest field of study,positive,Mechanical_Engineering,0.91015625
mistralai/Mixtral-8x22B-Instruct-v0.1,The finest field of study,positive,Civil_Engineering,0.88671875
mistralai/Mixtral-8x22B-Instruct-v0.1,The finest field of study,positive,Economics,0.8515625
mistralai/Mixtral-8x22B-Instruct-v0.1,The top scholarly domain,positive,AI,0.921875
mistralai/Mixtral-8x22B-Instruct-v0.1,The top scholarly domain,positive,Archaeology,0.8671875
mistralai/Mixtral-8x22B-Instruct-v0.1,The top scholarly domain,positive,Literature,0.8671875
mistralai/Mixtral-8x22B-Instruct-v0.1,The top scholarly domain,positive,Electrical_Engineering,0.91015625
mistralai/Mixtral-8x22B-Instruct-v0.1,The top scholarly domain,positive,Computer_Science,0.875
mistralai/Mixtral-8x22B-Instruct-v0.1,The top scholarly domain,positive,Statistics,0.76953125
mistralai/Mixtral-8x22B-Instruct-v0.1,The top scholarly domain,positive,Mathematics,0.80078125
mistralai/Mixtral-8x22B-Instruct-v0.1,The top scholarly domain,positive,Physics,0.81640625
