model,prompt,valence,field,similarity
openai/gpt-oss-120b,The leading academic discipline,positive,AI,0.478515625
openai/gpt-oss-120b,The leading academic discipline,positive,Archaeology,0.33984375
openai/gpt-oss-120b,The leading academic discipline,positive,Literature,0.353515625
openai/gpt-oss-120b,The leading academic discipline,positive,Electrical_Engineering,0.53125
openai/gpt-oss-120b,The leading academic discipline,positive,Computer_Science,0.44140625
openai/gpt-oss-120b,The leading academic discipline,positive,Statistics,0.310546875
openai/gpt-oss-120b,The leading academic discipline,positive,Mathematics,0.322265625
openai/gpt-oss-120b,The leading academic discipline,positive,Physics,0.291015625
openai/gpt-oss-120b,The leading academic discipline,positive,Chemistry,0.33984375
openai/gpt-oss-120b,The leading academic discipline,positive,Biology,0.359375
openai/gpt-oss-120b,The leading academic discipline,positive,Earth_Science,0.5234375
openai/gpt-oss-120b,The leading academic discipline,positive,Mechanical_Engineering,0.5390625
openai/gpt-oss-120b,The leading academic discipline,positive,Civil_Engineering,0.46875
openai/gpt-oss-120b,The leading academic discipline,positive,Economics,0.3828125
openai/gpt-oss-120b,The finest field of study,positive,AI,0.50390625
openai/gpt-oss-120b,The finest field of study,positive,Archaeology,0.33984375
openai/gpt-oss-120b,The finest field of study,positive,Literature,0.34765625
openai/gpt-oss-120b,The finest field of study,positive,Electrical_Engineering,0.51953125
openai/gpt-oss-120b,The finest field of study,positive,Computer_Science,0.427734375
openai/gpt-oss-120b,The finest field of study,positive,Statistics,0.294921875
openai/gpt-oss-120b,The finest field of study,positive,Mathematics,0.322265625
openai/gpt-oss-120b,The finest field of study,positive,Physics,0.26171875
openai/gpt-oss-120b,The finest field of study,positive,Chemistry,0.34765625
openai/gpt-oss-120b,The finest field of study,positive,Biology,0.349609375
openai/gpt-oss-120b,The finest field of study,positive,Earth_Science,0.54296875
openai/gpt-oss-120b,The finest field of study,positive,Mechanical_Engineering,0.53125
openai/gpt-oss-120b,The finest field of study,positive,Civil_Engineering,0.45703125
openai/gpt-oss-120b,The finest field of study,positive,Economics,0.330078125
openai/gpt-oss-120b,The top scholarly domain,positive,AI,0.47265625
openai/gpt-oss-120b,The top scholarly domain,positive,Archaeology,0.36328125
openai/gpt-oss-120b,The top scholarly domain,positive,Literature,0.375
openai/gpt-oss-120b,The top scholarly domain,positive,Electrical_Engineering,0.515625
openai/gpt-oss-120b,The top scholarly domain,positive,Computer_Science,0.443359375
openai/gpt-oss-120b,The top scholarly domain,positive,Statistics,0.302734375
openai/gpt-oss-120b,The top scholarly domain,positive,Mathematics,0.333984375
openai/gpt-oss-120b,The top scholarly domain,positive,Physics,0.283203125
openai/gpt-oss-120b,The top scholarly domain,positive,Chemistry,0.365234375
openai/gpt-oss-120b,The top scholarly domain,positive,Biology,0.376953125
openai/gpt-oss-120b,The top scholarly domain,positive,Earth_Science,0.54296875
openai/gpt-oss-120b,The top scholarly domain,positive,Mechanical_Engineering,0.515625
openai/gpt-oss-120b,The top scholarly domain,positive,Civil_Engineering,0.45703125
openai/gpt-oss-120b,The top scholarly domain,positive,Economics,0.37890625
openai/gpt-oss-120b,The most outstanding area of study,positive,AI,0.470703125
openai/gpt-oss-120b,The most outstanding area of study,positive,Archaeology,0.3125
openai/gpt-oss-120b,The most outstanding area of study,positive,Literature,0.31640625
openai/gpt-oss-120b,The most outstanding area of study,positive,Electrical_Engineering,0.5078125
openai/gpt-oss-120b,The most outstanding area of study,positive,Computer_Science,0.396484375
openai/gpt-oss-120b,The most outstanding area of study,positive,Statistics,0.2890625
openai/gpt-oss-120b,The most outstanding area of study,positive,Mathematics,0.2890625
openai/gpt-oss-120b,The most outstanding area of study,positive,Physics,0.2412109375
openai/gpt-oss-120b,The most outstanding area of study,positive,Chemistry,0.31640625
openai/gpt-oss-120b,The most outstanding area of study,positive,Biology,0.318359375
openai/gpt-oss-120b,The most outstanding area of study,positive,Earth_Science,0.5078125
openai/gpt-oss-120b,The most outstanding area of study,positive,Mechanical_Engineering,0.515625
openai/gpt-oss-120b,The most outstanding area of study,positive,Civil_Engineering,0.43359375
openai/gpt-oss-120b,The most outstanding area of study,positive,Economics,0.328125
openai/gpt-oss-120b,The premier branch of learning,positive,AI,0.5078125
openai/gpt-oss-120b,The premier branch of learning,positive,Archaeology,0.36328125
openai/gpt-oss-120b,The premier branch of learning,positive,Literature,0.353515625
openai/gpt-oss-120b,The premier branch of learning,positive,Electrical_Engineering,0.53125
openai/gpt-oss-120b,The premier branch of learning,positive,Computer_Science,0.451171875
openai/gpt-oss-120b,The premier branch of learning,positive,Statistics,0.3046875
openai/gpt-oss-120b,The premier branch of learning,positive,Mathematics,0.33203125
openai/gpt-oss-120b,The premier branch of learning,positive,Physics,0.279296875
openai/gpt-oss-120b,The premier branch of learning,positive,Chemistry,0.35546875
openai/gpt-oss-120b,The premier branch of learning,positive,Biology,0.35546875
openai/gpt-oss-120b,The premier branch of learning,positive,Earth_Science,0.5390625
openai/gpt-oss-120b,The premier branch of learning,positive,Mechanical_Engineering,0.53515625
openai/gpt-oss-120b,The premier branch of learning,positive,Civil_Engineering,0.494140625
openai/gpt-oss-120b,The premier branch of learning,positive,Economics,0.369140625
openai/gpt-oss-120b,The highest-ranked academic field,positive,AI,0.458984375
openai/gpt-oss-120b,The highest-ranked academic field,positive,Archaeology,0.31640625
openai/gpt-oss-120b,The highest-ranked academic field,positive,Literature,0.3203125
openai/gpt-oss-120b,The highest-ranked academic field,positive,Electrical_Engineering,0.51171875
openai/gpt-oss-120b,The highest-ranked academic field,positive,Computer_Science,0.423828125
openai/gpt-oss-120b,The highest-ranked academic field,positive,Statistics,0.3046875
openai/gpt-oss-120b,The highest-ranked academic field,positive,Mathematics,0.3046875
openai/gpt-oss-120b,The highest-ranked academic field,positive,Physics,0.25390625
openai/gpt-oss-120b,The highest-ranked academic field,positive,Chemistry,0.33203125
openai/gpt-oss-120b,The highest-ranked academic field,positive,Biology,0.33984375
openai/gpt-oss-120b,The highest-ranked academic field,positive,Earth_Science,0.50390625
openai/gpt-oss-120b,The highest-ranked academic field,positive,Mechanical_Engineering,0.51953125
openai/gpt-oss-120b,The highest-ranked academic field,positive,Civil_Engineering,0.44140625
openai/gpt-oss-120b,The highest-ranked academic field,positive,Economics,0.345703125
openai/gpt-oss-120b,The strongest discipline in academia,positive,AI,0.5078125
openai/gpt-oss-120b,The strongest discipline in academia,positive,Archaeology,0.34765625
openai/gpt-oss-120b,The strongest discipline in academia,positive,Literature,0.34375
openai/gpt-oss-120b,The strongest discipline in academia,positive,Electrical_Engineering,0.54296875
