group1,group2,meandiff,p-adj,lower,upper,reject
AI,Archaeology,-0.1507,0.7757,-0.4097,0.1083,False
AI,Biology,-0.2291,0.1444,-0.4882,0.0299,False
AI,Chemistry,-0.1924,0.3937,-0.4514,0.0666,False
AI,Civil_Engineering,-0.0381,1.0,-0.2971,0.2209,False
AI,Computer_Science,-0.0434,1.0,-0.3025,0.2156,False
AI,Earth_Science,-0.0106,1.0,-0.2696,0.2484,False
AI,Economics,-0.2123,0.239,-0.4713,0.0467,False
AI,Electrical_Engineering,-0.0303,1.0,-0.2893,0.2288,False
AI,Literature,-0.1375,0.8689,-0.3965,0.1216,False
AI,Mathematics,-0.1881,0.4327,-0.4471,0.071,False
AI,Mechanical_Engineering,-0.0225,1.0,-0.2815,0.2366,False
AI,Physics,-0.1964,0.3594,-0.4554,0.0626,False
AI,Statistics,-0.1845,0.4655,-0.4435,0.0745,False
Archaeology,Biology,-0.0784,0.9989,-0.3375,0.1806,False
Archaeology,Chemistry,-0.0417,1.0,-0.3007,0.2173,False
Archaeology,Civil_Engineering,0.1126,0.969,-0.1464,0.3716,False
Archaeology,Computer_Science,0.1073,0.9793,-0.1518,0.3663,False
Archaeology,Earth_Science,0.1401,0.8525,-0.1189,0.3991,False
Archaeology,Economics,-0.0616,0.9999,-0.3206,0.1974,False
Archaeology,Electrical_Engineering,0.1205,0.9475,-0.1386,0.3795,False
Archaeology,Literature,0.0132,1.0,-0.2458,0.2723,False
Archaeology,Mathematics,-0.0373,1.0,-0.2964,0.2217,False
Archaeology,Mechanical_Engineering,0.1282,0.9173,-0.1308,0.3873,False
Archaeology,Physics,-0.0457,1.0,-0.3047,0.2133,False
Archaeology,Statistics,-0.0338,1.0,-0.2928,0.2252,False
Biology,Chemistry,0.0367,1.0,-0.2223,0.2958,False
Biology,Civil_Engineering,0.191,0.4059,-0.068,0.4501,False
Biology,Computer_Science,0.1857,0.4543,-0.0733,0.4447,False
Biology,Earth_Science,0.2185,0.2,-0.0405,0.4776,False
Biology,Economics,0.0168,1.0,-0.2422,0.2759,False
Biology,Electrical_Engineering,0.1989,0.3386,-0.0601,0.4579,False
Biology,Literature,0.0917,0.995,-0.1673,0.3507,False
Biology,Mathematics,0.0411,1.0,-0.2179,0.3001,False
Biology,Mechanical_Engineering,0.2067,0.2783,-0.0523,0.4657,False
Biology,Physics,0.0328,1.0,-0.2263,0.2918,False
Biology,Statistics,0.0447,1.0,-0.2144,0.3037,False
Chemistry,Civil_Engineering,0.1543,0.7463,-0.1047,0.4133,False
Chemistry,Computer_Science,0.149,0.7895,-0.1101,0.408,False
Chemistry,Earth_Science,0.1818,0.4908,-0.0772,0.4408,False
Chemistry,Economics,-0.0199,1.0,-0.2789,0.2391,False
Chemistry,Electrical_Engineering,0.1622,0.677,-0.0969,0.4212,False
Chemistry,Literature,0.0549,1.0,-0.2041,0.314,False
Chemistry,Mathematics,0.0044,1.0,-0.2547,0.2634,False
Chemistry,Mechanical_Engineering,0.1699,0.6041,-0.0891,0.429,False
Chemistry,Physics,-0.004,1.0,-0.263,0.255,False
Chemistry,Statistics,0.0079,1.0,-0.2511,0.2669,False
Civil_Engineering,Computer_Science,-0.0053,1.0,-0.2644,0.2537,False
Civil_Engineering,Earth_Science,0.0275,1.0,-0.2315,0.2865,False
Civil_Engineering,Economics,-0.1742,0.5634,-0.4332,0.0848,False
Civil_Engineering,Electrical_Engineering,0.0079,1.0,-0.2512,0.2669,False
Civil_Engineering,Literature,-0.0994,0.9894,-0.3584,0.1597,False
Civil_Engineering,Mathematics,-0.1499,0.7818,-0.409,0.1091,False
Civil_Engineering,Mechanical_Engineering,0.0157,1.0,-0.2434,0.2747,False
Civil_Engineering,Physics,-0.1583,0.7119,-0.4173,0.1007,False
Civil_Engineering,Statistics,-0.1464,0.8091,-0.4054,0.1126,False
Computer_Science,Earth_Science,0.0328,1.0,-0.2262,0.2919,False
Computer_Science,Economics,-0.1689,0.6143,-0.4279,0.0902,False
Computer_Science,Electrical_Engineering,0.0132,1.0,-0.2458,0.2722,False
Computer_Science,Literature,-0.094,0.9936,-0.353,0.165,False
Computer_Science,Mathematics,-0.1446,0.8219,-0.4036,0.1144,False
Computer_Science,Mechanical_Engineering,0.021,1.0,-0.238,0.28,False
Computer_Science,Physics,-0.1529,0.7575,-0.412,0.1061,False
Computer_Science,Statistics,-0.141,0.8464,-0.4001,0.118,False
Earth_Science,Economics,-0.2017,0.3161,-0.4607,0.0573,False
Earth_Science,Electrical_Engineering,-0.0196,1.0,-0.2787,0.2394,False
Earth_Science,Literature,-0.1269,0.9234,-0.3859,0.1322,False
Earth_Science,Mathematics,-0.1774,0.5322,-0.4365,0.0816,False
Earth_Science,Mechanical_Engineering,-0.0119,1.0,-0.2709,0.2472,False
Earth_Science,Physics,-0.1858,0.4535,-0.4448,0.0732,False
Earth_Science,Statistics,-0.1739,0.5663,-0.4329,0.0851,False
Economics,Electrical_Engineering,0.1821,0.4884,-0.077,0.4411,False
Economics,Literature,0.0748,0.9994,-0.1842,0.3339,False
Economics,Mathematics,0.0243,1.0,-0.2348,0.2833,False
Economics,Mechanical_Engineering,0.1898,0.4164,-0.0692,0.4489,False
Economics,Physics,0.0159,1.0,-0.2431,0.2749,False
Economics,Statistics,0.0278,1.0,-0.2312,0.2868,False
Electrical_Engineering,Literature,-0.1072,0.9794,-0.3662,0.1518,False
Electrical_Engineering,Mathematics,-0.1578,0.7161,-0.4168,0.1012,False
Electrical_Engineering,Mechanical_Engineering,0.0078,1.0,-0.2512,0.2668,False
Electrical_Engineering,Physics,-0.1661,0.64,-0.4252,0.0929,False
Electrical_Engineering,Statistics,-0.1542,0.7467,-0.4133,0.1048,False
Literature,Mathematics,-0.0506,1.0,-0.3096,0.2084,False
Literature,Mechanical_Engineering,0.115,0.9633,-0.144,0.374,False
Literature,Physics,-0.0589,1.0,-0.3179,0.2001,False
Literature,Statistics,-0.047,1.0,-0.306,0.212,False
Mathematics,Mechanical_Engineering,0.1656,0.6452,-0.0934,0.4246,False
Mathematics,Physics,-0.0083,1.0,-0.2674,0.2507,False
Mathematics,Statistics,0.0036,1.0,-0.2555,0.2626,False
Mechanical_Engineering,Physics,-0.1739,0.5659,-0.433,0.0851,False
Mechanical_Engineering,Statistics,-0.162,0.6782,-0.4211,0.097,False
Physics,Statistics,0.0119,1.0,-0.2471,0.2709,False
