group1,group2,meandiff,p-adj,lower,upper,reject
AI,Archaeology,-0.1331,0.8831,-0.3885,0.1223,False
AI,Biology,-0.2263,0.1428,-0.4817,0.0291,False
AI,Chemistry,-0.1893,0.3973,-0.4447,0.0661,False
AI,Civil_Engineering,-0.0312,1.0,-0.2867,0.2242,False
AI,Computer_Science,-0.033,1.0,-0.2884,0.2224,False
AI,Earth_Science,-0.0107,1.0,-0.2661,0.2447,False
AI,Economics,-0.2122,0.2202,-0.4676,0.0432,False
AI,Electrical_Engineering,-0.0286,1.0,-0.284,0.2268,False
AI,Literature,-0.1315,0.8922,-0.3869,0.1239,False
AI,Mathematics,-0.1887,0.4033,-0.4441,0.0668,False
AI,Mechanical_Engineering,-0.0197,1.0,-0.2751,0.2357,False
AI,Physics,-0.1868,0.4205,-0.4422,0.0687,False
AI,Statistics,-0.1745,0.5367,-0.4299,0.0809,False
Archaeology,Biology,-0.0931,0.9933,-0.3485,0.1623,False
Archaeology,Chemistry,-0.0562,1.0,-0.3116,0.1992,False
Archaeology,Civil_Engineering,0.1019,0.985,-0.1535,0.3573,False
Archaeology,Computer_Science,0.1001,0.9871,-0.1553,0.3555,False
Archaeology,Earth_Science,0.1224,0.9344,-0.133,0.3778,False
Archaeology,Economics,-0.0791,0.9987,-0.3345,0.1763,False
Archaeology,Electrical_Engineering,0.1045,0.9812,-0.1509,0.36,False
Archaeology,Literature,0.0016,1.0,-0.2538,0.257,False
Archaeology,Mathematics,-0.0555,1.0,-0.3109,0.1999,False
Archaeology,Mechanical_Engineering,0.1134,0.9632,-0.142,0.3688,False
Archaeology,Physics,-0.0536,1.0,-0.309,0.2018,False
Archaeology,Statistics,-0.0414,1.0,-0.2968,0.214,False
Biology,Chemistry,0.037,1.0,-0.2184,0.2924,False
Biology,Civil_Engineering,0.195,0.3477,-0.0604,0.4504,False
Biology,Computer_Science,0.1933,0.3626,-0.0621,0.4487,False
Biology,Earth_Science,0.2156,0.1996,-0.0399,0.471,False
Biology,Economics,0.0141,1.0,-0.2413,0.2695,False
Biology,Electrical_Engineering,0.1977,0.3258,-0.0577,0.4531,False
Biology,Literature,0.0948,0.9922,-0.1606,0.3502,False
Biology,Mathematics,0.0376,1.0,-0.2178,0.293,False
Biology,Mechanical_Engineering,0.2066,0.2581,-0.0488,0.462,False
Biology,Physics,0.0395,1.0,-0.2159,0.2949,False
Biology,Statistics,0.0518,1.0,-0.2036,0.3072,False
Chemistry,Civil_Engineering,0.1581,0.6938,-0.0973,0.4135,False
Chemistry,Computer_Science,0.1563,0.7097,-0.0991,0.4117,False
Chemistry,Earth_Science,0.1786,0.4973,-0.0768,0.434,False
Chemistry,Economics,-0.0229,1.0,-0.2783,0.2325,False
Chemistry,Electrical_Engineering,0.1607,0.6693,-0.0947,0.4161,False
Chemistry,Literature,0.0578,1.0,-0.1976,0.3132,False
Chemistry,Mathematics,0.0007,1.0,-0.2547,0.2561,False
Chemistry,Mechanical_Engineering,0.1696,0.5843,-0.0858,0.425,False
Chemistry,Physics,0.0026,1.0,-0.2528,0.258,False
Chemistry,Statistics,0.0148,1.0,-0.2406,0.2702,False
Civil_Engineering,Computer_Science,-0.0018,1.0,-0.2572,0.2536,False
Civil_Engineering,Earth_Science,0.0205,1.0,-0.2349,0.2759,False
Civil_Engineering,Economics,-0.181,0.4745,-0.4364,0.0744,False
Civil_Engineering,Electrical_Engineering,0.0027,1.0,-0.2528,0.2581,False
Civil_Engineering,Literature,-0.1003,0.987,-0.3557,0.1551,False
Civil_Engineering,Mathematics,-0.1574,0.6999,-0.4128,0.098,False
Civil_Engineering,Mechanical_Engineering,0.0115,1.0,-0.2439,0.267,False
Civil_Engineering,Physics,-0.1555,0.717,-0.4109,0.0999,False
Civil_Engineering,Statistics,-0.1433,0.817,-0.3987,0.1121,False
Computer_Science,Earth_Science,0.0223,1.0,-0.2331,0.2777,False
Computer_Science,Economics,-0.1792,0.4913,-0.4346,0.0762,False
Computer_Science,Electrical_Engineering,0.0044,1.0,-0.251,0.2598,False
Computer_Science,Literature,-0.0985,0.9889,-0.3539,0.1569,False
Computer_Science,Mathematics,-0.1556,0.7157,-0.4111,0.0998,False
Computer_Science,Mechanical_Engineering,0.0133,1.0,-0.2421,0.2687,False
Computer_Science,Physics,-0.1537,0.7324,-0.4092,0.1017,False
Computer_Science,Statistics,-0.1415,0.8297,-0.3969,0.1139,False
Earth_Science,Economics,-0.2015,0.2957,-0.4569,0.0539,False
Earth_Science,Electrical_Engineering,-0.0179,1.0,-0.2733,0.2375,False
Earth_Science,Literature,-0.1208,0.9406,-0.3762,0.1346,False
Earth_Science,Mathematics,-0.1779,0.5037,-0.4333,0.0775,False
Earth_Science,Mechanical_Engineering,-0.009,1.0,-0.2644,0.2464,False
Earth_Science,Physics,-0.176,0.522,-0.4314,0.0794,False
Earth_Science,Statistics,-0.1638,0.6405,-0.4192,0.0916,False
Economics,Electrical_Engineering,0.1836,0.4495,-0.0718,0.439,False
Economics,Literature,0.0807,0.9984,-0.1747,0.3361,False
Economics,Mathematics,0.0236,1.0,-0.2318,0.279,False
Economics,Mechanical_Engineering,0.1925,0.3692,-0.0629,0.4479,False
Economics,Physics,0.0255,1.0,-0.2299,0.2809,False
Economics,Statistics,0.0377,1.0,-0.2177,0.2931,False
Electrical_Engineering,Literature,-0.1029,0.9836,-0.3583,0.1525,False
Electrical_Engineering,Mathematics,-0.1601,0.6755,-0.4155,0.0953,False
Electrical_Engineering,Mechanical_Engineering,0.0089,1.0,-0.2465,0.2643,False
Electrical_Engineering,Physics,-0.1582,0.693,-0.4136,0.0972,False
Electrical_Engineering,Statistics,-0.1459,0.797,-0.4013,0.1095,False
Literature,Mathematics,-0.0571,1.0,-0.3126,0.1983,False
Literature,Mechanical_Engineering,0.1118,0.9672,-0.1436,0.3672,False
Literature,Physics,-0.0552,1.0,-0.3107,0.2002,False
Literature,Statistics,-0.043,1.0,-0.2984,0.2124,False
Mathematics,Mechanical_Engineering,0.1689,0.5907,-0.0865,0.4244,False
Mathematics,Physics,0.0019,1.0,-0.2535,0.2573,False
Mathematics,Statistics,0.0141,1.0,-0.2413,0.2695,False
Mechanical_Engineering,Physics,-0.167,0.6091,-0.4225,0.0884,False
Mechanical_Engineering,Statistics,-0.1548,0.7231,-0.4102,0.1006,False
Physics,Statistics,0.0122,1.0,-0.2432,0.2676,False
